,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,updated_github_id,license,npm_id,npm_url,npm_monthly_downloads,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
156,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,jupyterlab_iframe,timkpaine/jupyterlab_iframe,,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000,2022-02-08 00:00:10.000000,2022-02-08 00:00:09,15.0,6.0,58.0,77.0,,2021-11-30 04:16:27,0.4.1,,1946.0,14.0,3.0,3.0,5.0,https://pypi.org/project/jupyterlab_iframe,949.0,,,,,,,,2.0,,Apache-2.0,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,997.0,,,,,,,
157,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,16,jupyterhub-systemdspawner,jupyterhub/systemdspawner,,,https://github.com/jupyterhub/systemdspawner,2016-09-06 07:20:44.000,2022-01-26 17:24:06.000000,2021-08-06 12:10:14,37.0,26.0,30.0,75.0,146.0,,,,1831.0,,20.0,20.0,17.0,https://pypi.org/project/jupyterhub-systemdspawner,1831.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
158,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,ipyregulartable,jpmorganchase/ipyregulartable,,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000,2022-02-19 14:08:46.000000,2022-02-19 14:08:45,9.0,10.0,15.0,58.0,,,,,106742.0,5.0,9.0,9.0,4.0,https://pypi.org/project/ipyregulartable,142.0,,,,,,,,3.0,,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,106600.0,,,,,,,
159,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,16,jdaviz,spacetelescope/jdaviz,,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000,2022-02-24 13:56:52.000000,2022-02-23 19:01:45,26.0,214.0,295.0,52.0,,2021-12-23 19:15:41,2.2.0,,398.0,3.0,,,25.0,https://pypi.org/project/jdaviz,398.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
160,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000,2022-02-22 14:27:53.000000,2022-02-22 14:27:53,9.0,2.0,31.0,51.0,200.0,2021-12-08 08:31:33,2.3.1,3251.0,817.0,22.0,,,8.0,,,https://anaconda.org/conda-forge/jupyter-archive,2021-10-13 13:44:42.346,19651.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
161,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43,3.0,2.0,4.0,13.0,172.0,,,,1262.0,7.0,51.0,51.0,4.0,https://pypi.org/project/ipyscales,96.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793,51313.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
162,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,,OpenGeoscience/geonotebook,,geonotebook/geonotebook,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00,137.0,37.0,46.0,1041.0,647.0,,,,1959.0,,,,9.0,,,,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,7.0,131270.0,3.0,,Apache-2.0,,,,,,,,,,
163,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,15,py-heat-magic,csurfer/pyheatmagic,,,https://github.com/csurfer/pyheatmagic,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,20.0,2.0,3.0,973.0,34.0,,,,2682.0,,25.0,25.0,3.0,https://pypi.org/project/py-heat-magic,2682.0,,,,,,,,2.0,,MIT,,,,,,,,,,
164,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000,2022-02-23 01:53:13.000000,2022-02-19 09:55:04,85.0,24.0,63.0,682.0,143.0,,,5060.0,158.0,3.0,,,7.0,,,,,,,,,,3.0,,MIT,,,,,,,,,,
165,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,jupyternotify,ShopRunner/jupyter-notify,,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000,2021-04-27 16:57:08.000000,2021-04-27 14:56:38,31.0,11.0,11.0,550.0,,2018-01-08 14:51:41,0.1.15,,1437.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,1437.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
