,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,pypi_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
109,vega,True,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,17,vega,vega/ipyvega,conda-forge/vega,,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000,2022-02-03 01:53:33.000000,2022-02-01 01:37:50,56.0,11.0,81.0,321.0,556.0,,,,6938.0,26.0,,,10.0,https://pypi.org/project/vega,https://anaconda.org/conda-forge/vega,2021-11-18 16:21:37.805,471784.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,,
110,tributary,True,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,17,tributary,timkpaine/tributary,conda-forge/tributary,,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000,2022-02-02 20:14:36.000000,2022-02-02 20:14:35,25.0,10.0,70.0,292.0,,2021-02-27 04:59:39,0.1.5,,751.0,12.0,17.0,17.0,7.0,https://pypi.org/project/tributary,https://anaconda.org/conda-forge/tributary,2021-11-17 22:00:58.159,15029.0,,,,,3.0,Apache-2.0,,,,,,,,,,,,
111,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,17,jupyterlab_templates,jpmorganchase/jupyterlab_templates,,,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000,2022-01-22 08:15:07.000000,2022-01-22 08:15:06,49.0,8.0,70.0,285.0,,2021-03-28 03:19:03,0.3.1,,3131.0,13.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,,,,,,,,2.0,Apache-2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,3131.0,,,,,,,,,
112,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,17,jupyter-client,jupyter/jupyter_client,,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000,2022-02-03 03:11:03.000000,2022-02-03 03:11:03,213.0,129.0,167.0,259.0,,2022-01-21 23:15:35,7.1.2,137.0,22.0,11.0,,,113.0,https://pypi.org/project/jupyter-client,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
113,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,17,,mamba-org/gator,conda-forge/mamba_gator,,https://github.com/mamba-org/gator,2018-08-02 05:15:23.000,2022-02-03 13:50:38.000000,2021-10-29 07:36:43,19.0,14.0,37.0,206.0,602.0,2021-09-03 07:26:55,npm@3.0.2,2.0,987.0,27.0,1.0,1.0,24.0,,https://anaconda.org/conda-forge/mamba_gator,2021-09-03 12:29:39.360,11575.0,,,,,2.0,BSD-3-Clause,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,216.0,,,,,,,,,
114,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,,scijava/scijava-jupyter-kernel,conda-forge/scijava-jupyter-kernel,,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000,2021-11-08 21:42:16.000000,2021-11-08 21:42:15,43.0,10.0,70.0,176.0,403.0,2017-06-02 21:19:27,0.5.0,78.0,1297.0,15.0,,,9.0,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430,75173.0,,,,,2.0,Apache-2.0,,,,,,,,,,,,
115,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,17,,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000,2022-01-22 02:48:54.000000,2021-10-08 10:02:41,16.0,11.0,33.0,140.0,150.0,2021-10-08 10:06:16,0.7.2,,2130.0,7.0,1.0,1.0,6.0,,,,,,,,,2.0,BSD-3-Clause,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,2130.0,,,jupyterlab-contrib/spellchecker,,,,,,
116,BatchSpawner,True,Custom Spawner for Jupyterhub to start servers in batch scheduled..,https://github.com/jupyterhub/batchspawner,,hub-spawners,17,batchspawner,jupyterhub/batchspawner,,,https://github.com/jupyterhub/batchspawner,2015-10-27 03:53:10.000,2022-01-18 11:19:46.000000,2021-05-05 12:02:36,92.0,44.0,70.0,129.0,327.0,2021-04-07 15:14:35,1.1.0,,,9.0,11.0,11.0,38.0,https://pypi.org/project/batchspawner,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,,
117,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,sphinxcontrib-jupyter,QuantEcon/sphinxcontrib-jupyter,,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000,2021-04-26 14:44:49.000000,2020-06-18 03:28:01,23.0,88.0,93.0,73.0,269.0,2020-06-18 03:30:24,0.5.10,,609.0,17.0,24.0,24.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,,,,,,,,2.0,BSD-3-Clause,,,,609.0,,,,,,,,
118,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,17,ipydagred3,timkpaine/ipydagred3,,,https://github.com/timkpaine/ipydagred3,2020-02-29 23:01:15.000,2021-12-12 18:44:52.000000,2021-12-12 18:44:52,5.0,5.0,14.0,29.0,,2020-12-31 23:04:43,0.3.0,,106075.0,9.0,9.0,9.0,3.0,https://pypi.org/project/ipydagred3,,,,,,,,3.0,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,105706.0,369.0,,,,,,,,
