,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
127,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,17,jupyter-widgets/jupyterlab-sidecar,sidecar,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-08-31 16:41:24.000000,2021-07-04 21:12:58.000000,35.0,19.0,10.0,186.0,69.0,2021-03-11 01:34:17.000000,0.5.1,,3508.0,1.0,3.0,3.0,13.0,https://pypi.org/project/sidecar,2080.0,,,,2.0,,,,,,BSD-3-Clause,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,1428.0,,,,,,,,
128,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000000,2021-07-09 17:21:04.000000,2021-07-09 17:20:28.000000,43.0,10.0,70.0,176.0,402.0,2017-06-02 21:19:27.000000,0.5.0,75.0,1363.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430000,73595.0,3.0,,,,,,Apache-2.0,,,,,,,,,,,
129,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,krishnan-r/sparkmonitor,sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,2017-05-31 09:13:01.000000,2021-02-03 03:28:03.000000,2021-02-03 03:28:02.000000,47.0,15.0,7.0,160.0,214.0,2018-05-29 18:46:14.000000,0.0.9,2373.0,1986.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,1924.0,,,,2.0,krishnanr/sparkmonitor,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,889.0,Apache-2.0,,,,,,,,,,,
130,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,17,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000000,2021-09-08 15:52:13.000000,2020-05-24 13:16:16.000000,32.0,57.0,34.0,159.0,426.0,,,,174.0,,10.0,10.0,9.0,,,,,,2.0,,,,,,BSD-3-Clause,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,174.0,,,,,,,,
131,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,17,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,2016-11-21 02:23:14.000000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57.000000,23.0,16.0,18.0,145.0,188.0,2017-03-05 04:26:44.000000,0.2.0,,5953.0,8.0,66.0,66.0,6.0,https://pypi.org/project/spylon-kernel,4607.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447000,75423.0,3.0,,,,,,,,,,,vericast/spylon-kernel,,,,,,
132,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000000,2021-04-26 14:44:49.000000,2020-06-18 03:28:01.000000,23.0,88.0,93.0,70.0,269.0,2020-06-18 03:30:24.000000,0.5.10,,329.0,17.0,23.0,23.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,329.0,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
133,First Use Authenticator,True,JupyterHub Authenticator that lets users set..,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,17,jupyterhub/firstuseauthenticator,jupyterhub-firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,2016-10-25 03:09:14.000000,2021-09-02 20:31:05.000000,2020-10-28 21:57:33.000000,19.0,4.0,14.0,37.0,73.0,2019-01-24 17:18:45.000000,0.12,,4644.0,2.0,52.0,52.0,11.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,4644.0,,,,2.0,,,,,,BSD-3-Clause,,,,,,,,,,,
134,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,17,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,2020-02-29 23:01:15.000000,2021-09-21 22:35:40.000000,2021-09-21 22:35:39.000000,5.0,5.0,13.0,26.0,,2020-12-31 23:04:43.000000,0.3.0,,129412.0,9.0,8.0,8.0,3.0,https://pypi.org/project/ipydagred3,255.0,,,,3.0,,,,,,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,129157.0,,,,,,,,
135,ipydatawidgets,True,A set of widgets to help facilitate reuse of large datasets..,https://github.com/vidartf/ipydatawidgets,,widgets,17,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,7.0,3.0,5.0,25.0,266.0,,,,42984.0,6.0,376.0,376.0,5.0,https://pypi.org/project/ipydatawidgets,40256.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,109152.0,3.0,,,,,,,,,,,,,,,,,
136,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,16,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,2017-12-02 21:16:38.000000,2021-06-15 20:32:15.000000,2019-07-16 04:37:36.000000,70.0,53.0,42.0,885.0,60.0,2019-07-16 04:33:54.000000,0.11.0,,650.0,14.0,3.0,3.0,8.0,,,,,,2.0,,,,,,MIT,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,650.0,,,,,,,,
