,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
152,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,16,,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,,https://github.com/vatlab/jupyterlab-sos,2018-03-20 16:07:18.000000,2021-11-12 20:41:39.000000,2021-11-12 20:41:32.000000,3.0,10.0,48.0,48.0,301.0,2019-09-02 19:30:02.000000,0.5.0,,671.0,11.0,5.0,5.0,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2021-04-16 15:33:43.971000,13274.0,,,,,2.0,jupyterlab-sos,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-sos,197.0,,,,,,,,
153,jdaviz,True,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,16,jdaviz,spacetelescope/jdaviz,,,https://github.com/spacetelescope/jdaviz,2019-05-07 17:54:06.000000,2022-01-20 14:14:53.000000,2022-01-19 21:35:35.000000,26.0,207.0,277.0,43.0,,2021-12-23 19:15:41.000000,2.2.0,,340.0,3.0,,,25.0,https://pypi.org/project/jdaviz,340.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
154,ipydatawidgets,True,A set of widgets to help facilitate reuse of large datasets..,https://github.com/vidartf/ipydatawidgets,,widgets,16,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,7.0,3.0,6.0,28.0,266.0,,,,2897.0,6.0,424.0,424.0,5.0,https://pypi.org/project/ipydatawidgets,,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,124571.0,,,,,3.0,,,,,,,,,,,,
155,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,2.0,4.0,13.0,172.0,,,,1279.0,7.0,51.0,51.0,4.0,https://pypi.org/project/ipyscales,91.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,51114.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
156,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,,OpenGeoscience/geonotebook,,geonotebook/geonotebook,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00.000000,135.0,37.0,46.0,1037.0,647.0,,,,1988.0,,,,9.0,,,,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,6.0,131261.0,3.0,,Apache-2.0,,,,,,,,,,
157,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,15,py-heat-magic,csurfer/pyheatmagic,,,https://github.com/csurfer/pyheatmagic,2017-08-18 20:35:01.000000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13.000000,20.0,2.0,3.0,971.0,34.0,,,,1875.0,,24.0,24.0,3.0,https://pypi.org/project/py-heat-magic,1875.0,,,,,,,,2.0,,MIT,,,,,,,,,,
158,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000000,2022-01-05 21:59:02.000000,2021-10-21 20:09:40.000000,83.0,23.0,63.0,668.0,141.0,,,4872.0,157.0,2.0,,,7.0,,,,,,,,,,3.0,,MIT,,,,,,,,,,
159,jupyter-notify,True,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,15,jupyternotify,ShopRunner/jupyter-notify,,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000000,2021-04-27 16:57:08.000000,2021-04-27 14:56:38.000000,30.0,11.0,11.0,548.0,,2018-01-08 14:51:41.000000,0.1.15,,1196.0,4.0,,,11.0,https://pypi.org/project/jupyternotify,1196.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
160,GPU Dashboards,True,A JupyterLab extension for displaying dashboards of GPU..,https://github.com/rapidsai/jupyterlab-nvdashboard,,lab-extensions,15,jupyterlab-nvdashboard,rapidsai/jupyterlab-nvdashboard,,,https://github.com/rapidsai/jupyterlab-nvdashboard,2019-08-12 15:22:10.000000,2021-10-12 08:51:06.000000,2021-10-12 08:51:05.000000,52.0,24.0,28.0,444.0,,2021-05-25 17:57:52.000000,0.6.0,,7158.0,2.0,,,15.0,https://pypi.org/project/jupyterlab-nvdashboard,3493.0,,,,,,,,3.0,jupyterlab-nvdashboard,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-nvdashboard,3665.0,,,,,,,,
161,IElixir,True,Jupyter's kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,15,,pprzetacznik/IElixir,,pprzetacznik/ielixir,https://github.com/pprzetacznik/IElixir,2015-07-06 11:39:08.000000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38.000000,38.0,10.0,20.0,335.0,282.0,2020-11-15 17:48:03.000000,0.9.21,,4.0,8.0,,,19.0,,,,,,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,312.0,3.0,,Apache-2.0,,,,,,,,,ielixir,
