,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
24,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,25,voila,voila-dashboards/voila,conda-forge/voila,,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2022-01-19 17:07:37.000000,2022-01-18 19:37:31.000000,368.0,225.0,329.0,3845.0,,2021-12-09 16:36:43.000000,0.3.0,135.0,44715.0,53.0,5772.0,5772.0,56.0,https://pypi.org/project/voila,37901.0,https://anaconda.org/conda-forge/voila,2021-12-22 15:34:44.031000,159570.0,,,,,2.0,@jupyter-voila/jupyterlab-preview,,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2690.0,,,,,,,,
25,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,25,dtale,man-group/dtale,conda-forge/dtale,,https://github.com/man-group/dtale,2019-07-15 09:34:48.000000,2022-01-18 03:35:07.000000,2022-01-18 03:35:07.000000,225.0,43.0,399.0,2934.0,552.0,2021-11-16 03:33:21.000000,1.61.0,,53501.0,103.0,280.0,280.0,19.0,https://pypi.org/project/dtale,49033.0,https://anaconda.org/conda-forge/dtale,2021-11-18 04:41:08.411000,102782.0,,,,,2.0,,LGPL-2.1,,,,,,,,,,
26,JupyterLab LSP,True,Coding assistance for JupyterLab (code navigation + hover..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,25,,krassowski/jupyterlab-lsp,,,https://github.com/jupyter-lsp/jupyterlab-lsp,2019-08-17 11:34:22.000000,2022-01-15 05:39:20.000000,2022-01-08 22:02:48.000000,84.0,125.0,256.0,1154.0,2323.0,2022-01-01 02:38:14.000000,3.10.0,,7007.0,40.0,108.0,108.0,38.0,,,,,,,,,,1.0,@krassowski/jupyterlab-lsp,BSD-3-Clause,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,7007.0,,jupyter-lsp/jupyterlab-lsp,,,,,,
27,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-12-16 20:46:07.000000,2021-09-09 18:47:00.000000,367.0,127.0,257.0,1078.0,1163.0,2021-08-27 16:28:41.000000,0.19.1,,36967.0,15.0,224.0,224.0,54.0,https://pypi.org/project/sparkmagic,36249.0,https://anaconda.org/conda-forge/sparkmagic,2021-08-17 12:12:12.530000,38064.0,,,,,1.0,,,,,,,,,,,,
28,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust,pixiedust/pixiedust,conda-forge/pixiedust,,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41.000000,158.0,164.0,260.0,1031.0,2157.0,2019-12-04 15:06:08.000000,1.1.18,,16526.0,19.0,226.0,226.0,33.0,https://pypi.org/project/pixiedust,15196.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331000,34602.0,,,,,1.0,,Apache-2.0,,,,,,,,,,
29,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,24,perspective-python,finos/perspective,,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2022-01-20 02:46:07.000000,2022-01-18 18:57:20.000000,426.0,62.0,422.0,4156.0,4997.0,,,,5594.0,,222.0,222.0,65.0,https://pypi.org/project/perspective-python,3886.0,,,,,,,,1.0,@finos/perspective-jupyterlab,Apache-2.0,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1708.0,,,,,,,,
30,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,RISE,damianavila/RISE,conda-forge/rise,,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-12-23 15:55:32.000000,2021-11-26 23:05:35.000000,367.0,135.0,280.0,3172.0,739.0,,,,13438.0,9.0,1743.0,1743.0,40.0,https://pypi.org/project/RISE,9488.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058000,185690.0,,,,,2.0,,,,,,,,,,,,
31,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,nbdev,fastai/nbdev,,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2022-01-14 05:43:14.000000,2021-12-08 16:25:05.000000,318.0,80.0,271.0,3103.0,1286.0,2021-10-29 23:19:34.000000,1.1.23,,45528.0,18.0,,,61.0,https://pypi.org/project/nbdev,45528.0,,,,,,,,2.0,,Apache-2.0,,,,,,,,,,
32,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,24,jupyter-book,executablebooks/jupyter-book,,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2022-01-19 22:33:10.000000,2022-01-19 22:33:10.000000,410.0,385.0,601.0,2630.0,1319.0,2021-11-19 04:25:23.000000,0.12.1,,27497.0,34.0,,,100.0,https://pypi.org/project/jupyter-book,27497.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
33,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,24,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2022-01-14 18:45:44.379000,2022-01-14 16:34:15.000000,198.0,81.0,419.0,1025.0,1737.0,2022-01-14 16:35:03.000000,0.34.2,,3140.0,37.0,14.0,14.0,69.0,https://pypi.org/project/jupyterlab-git,,https://anaconda.org/conda-forge/jupyterlab-git,2022-01-14 18:45:44.379000,116200.0,,,,,1.0,,BSD-3-Clause,,,-2.0,,,,,,,
34,gophernotes,True,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,23,,gopherdata/gophernotes,,gopherdata/gophernotes,https://github.com/gopherdata/gophernotes,2016-01-22 19:22:16.000000,2022-01-09 15:20:57.000000,2022-01-09 15:16:57.000000,212.0,43.0,121.0,3148.0,389.0,2022-01-09 15:20:57.000000,0.7.4,40.0,1174.0,16.0,7.0,7.0,28.0,,,,,,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,84541.0,1.0,,MIT,,,,,github.com/gopherdata/gophernotes,,,,,
35,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,23,beakerx,twosigma/beakerx,conda-forge/beakerx,beakerx/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-11-18 19:15:17.218000,2021-01-21 14:02:57.000000,368.0,343.0,4174.0,2623.0,1689.0,2018-12-04 18:27:21.000000,1.3.0,31.0,18066.0,39.0,,,43.0,https://pypi.org/project/beakerx,5737.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218000,482723.0,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,22.0,244586.0,2.0,beakerx,Apache-2.0,https://www.npmjs.com/package/beakerx,525.0,,,,,,,,
36,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,nbdime,jupyter/nbdime,conda-forge/nbdime,,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-11-03 11:51:17.000000,2021-11-03 11:51:16.000000,122.0,59.0,218.0,2152.0,1952.0,,,,236803.0,21.0,63.0,63.0,34.0,https://pypi.org/project/nbdime,175726.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628000,430245.0,,,,,2.0,nbdime-jupyterlab,,https://www.npmjs.com/package/nbdime-jupyterlab,54024.0,,,,,,,,
37,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,23,datalab,googledatalab/datalab,,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48.000000,244.0,224.0,667.0,967.0,2054.0,2021-08-16 19:04:35.000000,1.2.20210816,,114089.0,19.0,,,52.0,https://pypi.org/project/datalab,114089.0,,,,,,,,2.0,,Apache-2.0,,,,,,,,,,
38,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,23,jupyter-dash,plotly/jupyter-dash,,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2021-10-18 20:50:37.000000,2021-01-22 17:01:16.000000,171.0,34.0,15.0,661.0,119.0,2021-01-22 17:07:52.000000,0.4.0,65.0,35899.0,9.0,1158.0,1158.0,3.0,https://pypi.org/project/jupyter-dash,35896.0,,,,,,,,2.0,,MIT,,,,,,,,,,
39,Mapbox GL,True,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,https://github.com/mapbox/mapboxgl-jupyter,,widgets,23,mapboxgl,mapbox/mapboxgl-jupyter,,,https://github.com/mapbox/mapboxgl-jupyter,2017-08-08 15:10:51.000000,2022-01-11 05:18:07.000000,2021-04-19 05:00:36.000000,127.0,32.0,67.0,596.0,221.0,2019-06-03 21:24:10.000000,0.10.2,,14287.0,14.0,123.0,123.0,21.0,https://pypi.org/project/mapboxgl,14287.0,,,,,,,,2.0,,MIT,,,4.0,,,,,,,
40,watermark,True,"An IPython magic extension for printing date and time stamps, version..",https://github.com/rasbt/watermark,,magic,23,watermark,rasbt/watermark,conda-forge/watermark,,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2022-01-04 05:10:16.030000,2022-01-04 01:51:00.000000,72.0,15.0,27.0,590.0,91.0,2022-01-04 01:53:30.000000,2.3.0,,3064.0,15.0,1321.0,1321.0,18.0,https://pypi.org/project/watermark,,https://anaconda.org/conda-forge/watermark,2022-01-04 05:10:16.030000,193078.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
41,ipycanvas,True,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,23,ipycanvas,martinRenou/ipycanvas,conda-forge/ipycanvas,,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2022-01-14 16:08:34.000000,2022-01-14 16:08:31.000000,40.0,36.0,64.0,520.0,383.0,2021-12-01 08:33:39.000000,0.10.2,,7921.0,28.0,358.0,358.0,14.0,https://pypi.org/project/ipycanvas,6622.0,https://anaconda.org/conda-forge/ipycanvas,2021-12-01 13:09:01.830000,36375.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
42,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,nbval,computationalmodelling/nbval,conda-forge/nbval,,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2022-01-05 15:51:17.000000,2022-01-05 15:51:17.000000,39.0,34.0,61.0,367.0,446.0,,,,81792.0,8.0,1267.0,1267.0,29.0,https://pypi.org/project/nbval,78661.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,178494.0,,,,,2.0,,,,,,,,,,,,
43,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter-client,jupyter/jupyter_client,,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2022-01-14 19:53:03.000000,2022-01-14 19:52:58.000000,213.0,129.0,167.0,257.0,,2022-01-14 19:53:42.000000,7.1.1,130.0,15579956.0,10.0,,,111.0,https://pypi.org/project/jupyter-client,15579930.0,,,,,,,,2.0,,BSD-3-Clause,,,6.0,,,,,,,
44,ipycytoscape,True,A Cytoscape Jupyter widget.,https://github.com/cytoscape/ipycytoscape,,widgets,23,,QuantStack/ipycytoscape,conda-forge/ipycytoscape,,https://github.com/cytoscape/ipycytoscape,2020-02-05 13:46:52.000000,2022-01-20 06:18:52.000000,2022-01-20 06:18:52.000000,47.0,54.0,93.0,175.0,659.0,2021-11-27 02:44:57.000000,1.3.0,3.0,1196.0,18.0,55.0,55.0,29.0,,,https://anaconda.org/conda-forge/ipycytoscape,2022-01-18 19:08:24.277000,26333.0,,,,,2.0,,BSD-3-Clause,,,,cytoscape/ipycytoscape,,,,,,
45,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,22,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2022-01-18 08:09:20.000000,2022-01-18 08:09:20.000000,821.0,47.0,266.0,2139.0,,,,,52212.0,19.0,1786.0,1786.0,105.0,https://pypi.org/project/ipyparallel,44232.0,https://anaconda.org/conda-forge/ipyparallel,2021-12-23 14:25:42.627000,550623.0,,,,,2.0,,,,,,,,,,,,
46,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,22,,jupyter/nbviewer,,jupyter/nbviewer,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000000,2021-11-05 16:16:00.000000,2021-09-10 14:27:08.000000,483.0,157.0,401.0,1993.0,1391.0,,,,21880.0,,7.0,7.0,86.0,,,,,,https://hub.docker.com/r/jupyter/nbviewer,2020-12-02 09:25:43.416709,27.0,2472491.0,2.0,,BSD-3-Clause,,,,,,,,,,
47,IRkernel,True,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,22,,IRkernel/IRkernel,r/r-irkernel,jupyter/r-notebook,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2022-01-18 21:41:16.263656,2022-01-04 12:48:23.000000,285.0,55.0,501.0,1492.0,588.0,2022-01-03 22:04:04.000000,1.3,,12890.0,17.0,,,40.0,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,54354.0,https://hub.docker.com/r/jupyter/r-notebook,2022-01-18 21:41:16.263656,42.0,1160832.0,1.0,,MIT,,,,,,IRkernel,,,,
48,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,22,jupyter-repo2docker,jupyterhub/repo2docker,,,https://github.com/jupyterhub/repo2docker,2017-05-09 08:36:30.000000,2022-01-20 09:09:21.000000,2022-01-11 10:39:22.000000,275.0,140.0,308.0,1299.0,,2021-08-24 17:28:11.000000,2021.08.0,,3838.0,10.0,137.0,137.0,102.0,https://pypi.org/project/jupyter-repo2docker,3838.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
49,elyra,True,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,22,elyra,elyra-ai/elyra,conda-forge/elyra,,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2022-01-20 03:19:02.000000,2022-01-20 02:50:13.000000,197.0,219.0,1055.0,1199.0,1444.0,,,,537.0,12.0,28.0,28.0,39.0,https://pypi.org/project/elyra,,https://anaconda.org/conda-forge/elyra,2021-04-27 19:22:26.105000,9138.0,,,,,1.0,,Apache-2.0,,,,,,,,,,
50,Stencila,True,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,22,,stencila/stencila,,stencila/cloud,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2022-01-20 14:06:28.000000,2022-01-19 07:34:08.000000,33.0,48.0,490.0,618.0,6967.0,2022-01-19 07:34:13.000000,0.140.0,1073.0,429.0,100.0,16.0,16.0,26.0,,,,,,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16459.0,2.0,stencila,Apache-2.0,https://www.npmjs.com/package/stencila,135.0,,,,,,,,
51,OAuthenticator,True,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,22,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000000,2022-01-14 08:40:34.000000,2022-01-12 14:28:18.000000,295.0,28.0,184.0,329.0,,,,,34744.0,12.0,242.0,242.0,104.0,https://pypi.org/project/oauthenticator,34156.0,https://anaconda.org/conda-forge/oauthenticator,2021-07-19 15:40:38.273000,19430.0,,,,,1.0,,BSD-3-Clause,,,-2.0,,,,,,,
52,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,22,metakernel,Calysto/metakernel,conda-forge/metakernel,,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000000,2021-12-02 15:51:29.961000,2021-12-02 13:02:55.000000,73.0,25.0,113.0,266.0,1112.0,2021-12-02 13:04:26.000000,0.28.2,19.0,24058.0,48.0,,,29.0,https://pypi.org/project/metakernel,16335.0,https://anaconda.org/conda-forge/metakernel,2021-12-02 15:51:29.961000,532285.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
53,sos,True,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,22,,vatlab/SOS,,,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2022-01-05 19:27:44.000000,2022-01-05 19:27:44.000000,28.0,58.0,1355.0,214.0,7500.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,1620.0,1620.0,33.0,,,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
54,LDAP Authenticator,True,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,22,jupyterhub-ldapauthenticator,jupyterhub/ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2022-01-18 12:21:35.000000,2021-06-27 18:55:19.000000,147.0,55.0,77.0,169.0,167.0,2018-06-14 12:02:35.000000,1.2.2,,7784.0,3.0,86.0,86.0,30.0,https://pypi.org/project/jupyterhub-ldapauthenticator,7254.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,22814.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
55,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,21,jupyterthemes,dunovank/jupyter-themes,,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-12-04 01:00:56.000000,2021-08-23 17:19:38.000000,987.0,186.0,197.0,8922.0,634.0,,,,34645.0,,,,42.0,https://pypi.org/project/jupyterthemes,34645.0,,,,,,,,1.0,,MIT,,,,,,,,,,
56,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,21,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-12-03 07:25:49.000000,2021-04-06 05:51:36.000000,740.0,312.0,450.0,4755.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,267754.0,1.0,,,126.0,https://pypi.org/project/jupyter_contrib_nbextensions,267754.0,,,,,,,,1.0,,,,,5.0,,,,,,,
57,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,21,qgrid,quantopian/qgrid,conda-forge/qgrid,,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000000,2021-06-25 03:13:35.000000,2020-04-07 18:56:49.000000,370.0,147.0,125.0,2804.0,405.0,2020-04-07 16:34:17.000000,1.3.1,,49249.0,21.0,,,30.0,https://pypi.org/project/qgrid,41356.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336000,329605.0,,,,,2.0,qgrid,Apache-2.0,https://www.npmjs.com/package/qgrid,881.0,,,,,,,,
58,IJavascript,True,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,21,,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2021-12-01 20:30:42.000000,2021-12-01 20:30:42.000000,140.0,45.0,175.0,1741.0,330.0,2021-11-15 23:43:33.000000,5.2.1,,3330.0,33.0,55.0,55.0,14.0,,,,,,,,,,2.0,ijavascript,,https://www.npmjs.com/package/ijavascript,3330.0,,,,,,,,
59,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,21,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2022-01-17 05:12:22.000000,2021-10-03 10:13:29.000000,266.0,201.0,580.0,1059.0,3017.0,2021-05-08 15:44:14.000000,0.6.2,,3747.0,19.0,,,84.0,https://pypi.org/project/nbgrader,2003.0,https://anaconda.org/conda-forge/nbgrader,2021-09-25 00:23:03.383000,104689.0,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
60,pythreejs,True,A Jupyter - Three.js bridge.,https://github.com/jupyter-widgets/pythreejs,,widgets,21,pythreejs,jupyter-widgets/pythreejs,conda-forge/pythreejs,,https://github.com/jupyter-widgets/pythreejs,2013-12-23 17:02:11.000000,2021-12-06 21:48:19.000000,2021-12-06 21:48:19.000000,161.0,67.0,144.0,783.0,1667.0,,,,36578.0,15.0,19.0,19.0,29.0,https://pypi.org/project/pythreejs,26844.0,https://anaconda.org/conda-forge/pythreejs,2021-03-02 13:32:39.505000,360710.0,,,,,2.0,jupyter-threejs,,https://www.npmjs.com/package/jupyter-threejs,4430.0,,,,,,,,
61,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,21,,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-08-10 23:33:27.000000,2021-08-10 23:33:21.000000,101.0,64.0,51.0,710.0,523.0,2018-04-16 17:16:10.000000,0.2.0,,91012.0,1.0,167.0,167.0,14.0,,,,,,,,,,1.0,@jupyterlab/toc,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/toc,91012.0,,,,,,,,
62,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,21,,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2022-01-15 06:45:20.000000,2021-03-31 14:20:34.000000,36.0,17.0,245.0,539.0,1174.0,2020-12-10 14:31:28.000000,0.3.7,,73942.0,28.0,,,11.0,,,,,,,,,,1.0,@jupyterlab/debugger,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/debugger,73942.0,,,,,,,,
63,KubeSpawner,True,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,21,jupyterhub-kubespawner,jupyterhub/kubespawner,,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2022-01-19 20:30:36.000000,2022-01-05 23:34:17.000000,227.0,51.0,217.0,394.0,,,,,97573.0,,102.0,102.0,66.0,https://pypi.org/project/jupyterhub-kubespawner,97573.0,,,,,,,,1.0,,BSD-3-Clause,,,,,,,,,,
64,Appmode,True,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,appmode,oschuett/appmode,conda-forge/appmode,,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-11-16 11:28:50.190000,2021-04-26 19:20:06.000000,65.0,3.0,49.0,383.0,96.0,2020-06-09 08:17:47.000000,0.8.0,,5040.0,8.0,292.0,292.0,8.0,https://pypi.org/project/appmode,2129.0,https://anaconda.org/conda-forge/appmode,2021-11-16 11:28:50.190000,145560.0,,,,,1.0,,MIT,,,,,,,,,,
65,colabcode,True,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,20,colabcode,abhishekkrthakur/colabcode,,,https://github.com/abhishekkrthakur/colabcode,2020-09-09 10:06:26.000000,2021-10-28 17:06:53.000000,2021-06-11 15:16:36.000000,223.0,31.0,31.0,1669.0,44.0,,,,9884.0,,50.0,50.0,8.0,https://pypi.org/project/colabcode,9884.0,,,,,,,,3.0,,MIT,,,,,,,,,,
66,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,20,witwidget,PAIR-code/what-if-tool,,,https://github.com/PAIR-code/what-if-tool,2018-09-07 20:26:10.000000,2022-01-14 02:13:30.000000,2022-01-05 20:19:46.000000,119.0,50.0,47.0,626.0,328.0,2021-10-12 17:36:36.000000,1.8.1,,9510.0,3.0,,,20.0,https://pypi.org/project/witwidget,6366.0,,,,,,,,2.0,wit-widget,Apache-2.0,https://www.npmjs.com/package/wit-widget,3144.0,,,,,,,,
67,DockerSpawner,True,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,20,dockerspawner,jupyterhub/dockerspawner,conda-forge/dockerspawner,,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2021-12-17 06:28:54.000000,2021-11-27 18:36:06.000000,266.0,13.0,235.0,408.0,,,,,5806.0,4.0,111.0,111.0,62.0,https://pypi.org/project/dockerspawner,5541.0,https://anaconda.org/conda-forge/dockerspawner,2021-08-17 09:21:01.475000,10076.0,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
68,Octave Kernel,True,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,20,octave_kernel,calysto/octave_kernel,,,https://github.com/Calysto/octave_kernel,2014-07-31 01:59:06.000000,2022-01-04 01:26:18.000000,2022-01-04 01:26:12.000000,57.0,24.0,140.0,384.0,389.0,2022-01-04 01:27:35.000000,0.34.0,15.0,8184.0,4.0,,,17.0,https://pypi.org/project/octave_kernel,8184.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
69,Resource Usage,True,Jupyter Notebook Extension for monitoring your own Resource..,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,20,jupyter-resource-usage,jupyter-server/jupyter-resource-usage,conda-forge/nbresuse,,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000000,2021-12-06 09:55:23.000000,2021-12-06 09:55:23.000000,65.0,28.0,27.0,294.0,183.0,2021-12-06 09:34:12.000000,0.6.1,8.0,34366.0,5.0,,,20.0,https://pypi.org/project/jupyter-resource-usage,12936.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946000,471476.0,,,,,2.0,,BSD-2-Clause,,,,,,,,,,
