,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
38,OAuthenticator,True,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,24,jupyterhub/oauthenticator,oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000000,2021-06-23 08:08:18.000000,2021-05-28 11:09:20.000000,272.0,24.0,175.0,302.0,883.0,,,,36591.0,11.0,213.0,213.0,94.0,https://pypi.org/project/oauthenticator,36035.0,https://anaconda.org/conda-forge/oauthenticator,2021-04-09 17:37:22.688000,14469.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
39,jupyter_server,True,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,24,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,2016-09-21 19:18:45.000000,2021-06-24 12:43:35.000000,2021-06-17 16:56:48.000000,117.0,60.0,130.0,239.0,12085.0,2021-05-20 19:52:46.000000,1.8.0,50.0,872932.0,38.0,,,438.0,https://pypi.org/project/jupyter_server,857681.0,https://anaconda.org/conda-forge/jupyter_server,2021-05-22 02:13:44.505000,503221.0,3.0,,,,,,,,,,,,,,,,,
40,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-06-24 13:15:10.000000,2021-06-24 13:15:03.000000,113.0,53.0,215.0,2034.0,1934.0,,,,214381.0,20.0,49.0,49.0,32.0,https://pypi.org/project/nbdime,134895.0,https://anaconda.org/conda-forge/nbdime,2021-05-25 19:33:13.127000,328548.0,2.0,,,,,,nbdime-jupyterlab,,https://www.npmjs.com/package/nbdime-jupyterlab,73402.0,,,,,,,,
41,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,23,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2021-06-24 14:11:00.000000,2021-06-24 09:20:58.000000,763.0,61.0,211.0,1986.0,,,,,67885.0,15.0,1601.0,1601.0,100.0,https://pypi.org/project/ipyparallel,60465.0,https://anaconda.org/conda-forge/ipyparallel,2021-01-22 17:12:52.539000,460040.0,2.0,,,,,,,,,,,,,,,,,
42,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,23,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2021-06-06 22:41:26.000000,2021-01-22 17:01:16.000000,131.0,27.0,13.0,510.0,119.0,2021-01-22 17:07:52.000000,0.4.0,58.0,29935.0,9.0,495.0,495.0,3.0,https://pypi.org/project/jupyter-dash,29931.0,,,,2.0,,,,,,,MIT,,,,,,,,,,
43,ipycanvas,True,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,23,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2021-06-18 13:08:27.000000,2021-06-18 11:53:42.000000,36.0,29.0,58.0,447.0,352.0,2021-06-18 11:59:19.000000,0.9.0,,14463.0,25.0,100.0,100.0,13.0,https://pypi.org/project/ipycanvas,13345.0,https://anaconda.org/conda-forge/ipycanvas,2021-06-18 12:16:48.874000,23493.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
44,DockerSpawner,True,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,23,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2021-04-30 09:16:39.000000,2021-03-26 10:25:36.000000,257.0,16.0,224.0,384.0,587.0,,,,8215.0,3.0,94.0,94.0,62.0,https://pypi.org/project/dockerspawner,7956.0,https://anaconda.org/conda-forge/dockerspawner,2019-04-26 00:50:54.465000,8029.0,1.0,,,,,,,BSD-3-Clause,,,1.0,,,,,,,
45,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2021-05-19 21:33:58.000000,2021-01-27 08:24:41.000000,36.0,30.0,60.0,353.0,435.0,,,,67200.0,8.0,1059.0,1059.0,26.0,https://pypi.org/project/nbval,64402.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,139932.0,2.0,,,,,,,,,,1.0,,,,,,,
46,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,23,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000000,2021-05-10 22:22:23.000000,2021-05-10 22:22:23.000000,71.0,24.0,113.0,246.0,1071.0,,,,30449.0,46.0,456.0,456.0,28.0,https://pypi.org/project/metakernel,22875.0,https://anaconda.org/conda-forge/metakernel,2020-11-11 18:56:46.728000,469631.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,
47,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,23,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-06-22 10:15:46.000000,2021-06-14 14:32:47.000000,204.0,120.0,152.0,227.0,1941.0,,,,10472913.0,,,,101.0,https://pypi.org/project/jupyter-client,10472913.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,
