,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,commit_count,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
84,almond,True,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,19,almond-sh/almond,,,https://github.com/almond-sh/almond,BSD-3-Clause,2015-03-10 22:48:50.000,2022-08-24 15:17:04.000000,2022-08-24 15:17:04,218.0,97.0,198.0,1454.0,2022-08-15 19:45:01,0.13.1,1276.0,190.0,39.0,,,36.0,,,,,,2.0,,,,,,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2022-08-16 14:22:00.573334,6.0,14616.0,,,,,,,
85,Variable Inspector,True,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,19,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,BSD-3-Clause,2018-06-13 18:16:02.000,2022-08-01 14:06:03.000000,2022-08-01 14:06:03,84.0,44.0,115.0,931.0,2021-04-10 11:39:23,3.0.7,,5685.0,6.0,3.0,3.0,18.0,,,,,,1.0,@lckr/jupyterlab_variableinspector,166.0,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,5685.0,,,,,,,,,,,,,
86,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,19,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2022-07-17 11:55:06.000000,2022-07-09 09:08:49,108.0,50.0,32.0,907.0,2022-07-17 11:55:06,0.5.0,,317290.0,2.0,,,20.0,https://pypi.org/project/jupyter_nbextensions_configurator,317290.0,,,,2.0,,502.0,,,,,,,,,8.0,,,,,,
87,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2022-06-03 01:25:04.000000,2022-01-05 20:19:46,140.0,58.0,52.0,739.0,2021-10-12 17:36:36,1.8.1,,16550.0,3.0,,,20.0,https://pypi.org/project/witwidget,10657.0,,,,3.0,wit-widget,328.0,https://www.npmjs.com/package/wit-widget,5893.0,,,,,,,,,,,,,
88,JupyterLab TOC,True,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,19,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,BSD-3-Clause,2018-03-12 15:55:19.000,2022-07-07 04:18:47.000000,2021-08-10 23:33:21,104.0,64.0,51.0,724.0,2018-04-16 17:16:10,0.2.0,,181188.0,1.0,,,14.0,,,,,,1.0,@jupyterlab/toc,523.0,https://www.npmjs.com/package/@jupyterlab/toc,181188.0,,,,,,,,,,,,,
89,Apache Toree,True,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,19,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,Apache-2.0,2016-01-07 08:00:06.000,2022-03-15 19:55:24.000000,2022-03-15 19:55:24,213.0,,,700.0,,,,12839.0,,,,103.0,https://pypi.org/project/toree,12839.0,,,,2.0,,1150.0,,,,,,,,,,,,,,,
90,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,19,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2022-07-20 03:28:34.000000,2021-06-29 12:29:51,63.0,40.0,25.0,541.0,,,,4315.0,,532.0,532.0,15.0,,,,,,2.0,jupyterlab-drawio,101.0,https://www.npmjs.com/package/jupyterlab-drawio,4315.0,,,,,,,,,,,,,
91,ipysheet,True,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,19,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2022-07-20 08:55:24.000000,2021-12-14 18:02:31,62.0,61.0,57.0,501.0,,,,58943.0,13.0,3.0,3.0,10.0,https://pypi.org/project/ipysheet,54276.0,https://anaconda.org/conda-forge/ipysheet,2021-08-11 12:55:17.098,55019.0,3.0,ipysheet,295.0,https://www.npmjs.com/package/ipysheet,3388.0,,,,,,,,,,,,,
92,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,19,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,,2015-09-09 13:39:18.000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25,62.0,17.0,41.0,470.0,2018-01-15 18:11:51,0.9.0,,14005.0,8.0,257.0,257.0,3.0,https://pypi.org/project/pivottablejs,14005.0,,,,3.0,,32.0,,,,,,,,,,,,,,,
93,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,19,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-04 11:15:43.000000,2022-08-04 11:15:04,21.0,3.0,10.0,283.0,,,,9371.0,,55.0,55.0,5.0,https://pypi.org/project/treon,9371.0,,,,2.0,,66.0,,,,,,,,,,,,,,,
