,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,commit_count,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
165,jupyter-tensorboard,True,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,15,lspvic/jupyter_tensorboard,jupyter-tensorboard,,https://github.com/lspvic/jupyter_tensorboard,MIT,2017-08-22 08:05:13.000,2022-06-14 12:29:55.000000,2020-02-16 06:42:48,70.0,40.0,29.0,461.0,,,,13529.0,,,,4.0,https://pypi.org/project/jupyter-tensorboard,13529.0,,,,3.0,69.0,,,,,,,,,,,,,,,,
166,Matlab Kernel,True,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,15,calysto/matlab_kernel,matlab_kernel,,https://github.com/Calysto/matlab_kernel,,2015-01-31 12:51:06.000,2022-05-09 10:21:04.000000,2022-05-09 10:21:01,75.0,25.0,104.0,451.0,2022-05-09 10:21:42,0.17.1,,1155.0,3.0,,,18.0,https://pypi.org/project/matlab_kernel,1155.0,,,,3.0,216.0,,,,,,,,,,,,,,,,
167,testbook,True,Unit test your Jupyter Notebooks the right way.,https://github.com/nteract/testbook,,notebook-tools,15,nteract/testbook,,,https://github.com/nteract/testbook,BSD-3-Clause,2020-02-26 19:43:22.000,2023-02-06 16:35:32.000000,2022-11-29 20:28:15,35.0,44.0,47.0,345.0,,,,,,202.0,202.0,15.0,,,,,,3.0,,,,,,,,,,,,,,,,,
168,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,15,executablebooks/thebe,,,https://github.com/executablebooks/thebe,BSD-3-Clause,2017-03-14 12:17:22.000,2023-02-16 12:36:33.000000,2023-02-16 12:36:27,58.0,77.0,90.0,309.0,2021-10-26 10:04:08,0.8.2,,,5.0,6.0,6.0,26.0,,,,,,3.0,,,,,,,,,,,,,,,,,
169,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,MIT,2018-08-14 12:36:26.000,2022-07-21 07:29:55.000000,2022-07-18 10:51:06,33.0,18.0,10.0,298.0,,,,6244.0,,4.0,4.0,7.0,,,,,,2.0,37.0,,,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,6244.0,,,,,,,,,,,
170,jupyterlab-execute-time,True,Execute Time Plugin for Jupyter Lab.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,15,deshaw/jupyterlab-execute-time,,,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2022-12-28 12:49:50.000000,2022-12-28 12:48:39,36.0,5.0,37.0,254.0,,,,2217.0,,2.0,2.0,12.0,,,,,,2.0,43.0,,,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,2217.0,,,,,,,,,,,
171,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,15,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,,2018-01-23 18:18:38.000,2023-01-06 19:12:21.000000,2021-03-10 20:56:11,24.0,12.0,19.0,212.0,2021-03-10 20:57:44,4.14.3,,1040.0,6.0,6.0,6.0,5.0,,,,,,3.0,71.0,,,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,1040.0,,,,,,,,,,,
172,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,15,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,34.0,58.0,34.0,171.0,,,,70.0,,12.0,12.0,9.0,,,,,,2.0,426.0,,,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,70.0,,,,,,,,,,,
173,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,15,Cadair/jupyter_environment_kernels,environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,BSD-2-Clause,2015-01-06 14:50:00.000,2022-11-23 11:42:58.000000,2022-11-23 11:42:26,17.0,6.0,23.0,146.0,2022-11-23 11:42:59,1.2.0,,4348.0,3.0,,,8.0,https://pypi.org/project/environment_kernels,4348.0,,,,3.0,83.0,,,,,,,,,,,,,,,,
174,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,15,jtpio/ipylab,ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2023-02-07 14:20:43.000000,2023-02-07 14:20:41,9.0,14.0,19.0,131.0,2022-08-25 07:45:29,0.6.0,45.0,13671.0,12.0,2.0,2.0,6.0,https://pypi.org/project/ipylab,13220.0,https://anaconda.org/conda-forge/ipylab,2022-08-25 11:30:14.285,17561.0,2.0,,,,,,,,,,,,,,,,,
