,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
122,tributary,True,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,17,timkpaine/tributary,tributary,conda-forge/tributary,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000000,2021-11-10 00:14:10.000000,2021-11-10 00:14:09.000000,25.0,12.0,66.0,278.0,,2021-02-27 04:59:39.000000,0.1.5,,824.0,12.0,15.0,15.0,7.0,https://pypi.org/project/tributary,,https://anaconda.org/conda-forge/tributary,2020-10-15 18:24:08.479000,14010.0,3.0,,,,,,,Apache-2.0,,,,,,,,,,
123,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,17,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,2016-09-26 19:01:37.000000,2021-08-31 21:50:21.000000,2021-08-05 17:00:09.000000,43.0,34.0,82.0,235.0,,2021-06-02 23:50:52.000000,5.0.2,,26469.0,15.0,,,18.0,https://pypi.org/project/dask-labextension,4640.0,https://anaconda.org/conda-forge/dask-labextension,2021-07-30 13:05:56.423000,472220.0,2.0,,,,,,dask-labextension,BSD-3-Clause,https://www.npmjs.com/package/dask-labextension,5546.0,,,,,,,,
124,jupyterlab-classic,True,The next-gen old-school notebook UI.,https://github.com/jupyterlab/retrolab,,notebook-environments,17,jtpio/jupyterlab-classic,jupyterlab-classic,,https://github.com/jupyterlab/retrolab,2020-12-07 16:37:07.000000,2021-11-11 10:07:10.000000,2021-11-11 10:07:10.000000,31.0,33.0,75.0,204.0,,2021-11-01 10:04:55.000000,0.3.12,233.0,21.0,39.0,35.0,35.0,12.0,https://pypi.org/project/jupyterlab-classic,,,,,3.0,,,,,,,BSD-3-Clause,,,,jupyterlab/retrolab,,,,,,
125,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,17,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,2018-08-02 05:15:23.000000,2021-11-10 22:39:28.000000,2021-10-29 07:36:43.000000,19.0,13.0,37.0,199.0,602.0,2021-09-03 07:26:55.000000,npm@3.0.2,2.0,1024.0,27.0,1.0,1.0,24.0,,,https://anaconda.org/conda-forge/mamba_gator,2021-09-03 12:29:39.360000,10424.0,2.0,,,,,,@mamba-org/gator-lab,BSD-3-Clause,https://www.npmjs.com/package/@mamba-org/gator-lab,156.0,,,,,,,,
126,ML Hub,True,Multi-user development platform for machine learning teams. Simple to..,https://github.com/ml-tooling/ml-hub,,notebook-environments,17,ml-tooling/ml-hub,,,https://github.com/ml-tooling/ml-hub,2019-06-26 15:05:50.000000,2020-10-19 09:31:37.000000,2020-10-02 15:10:06.000000,43.0,12.0,9.0,197.0,217.0,2020-02-03 15:59:07.000000,1.0.0,1672.0,1549.0,8.0,,,6.0,,,,,,3.0,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,43086.0,,Apache-2.0,,,,,,,,,,
127,OCaml Kernel,True,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,17,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,2017-07-14 14:15:05.000000,2021-08-10 10:07:02.000000,2021-08-07 23:37:29.000000,27.0,3.0,64.0,197.0,316.0,2021-08-10 10:14:25.000000,2.7.5,52830.0,1015.0,27.0,,,17.0,,,,,,2.0,,,,,,,MIT,,,,,,,,,,
128,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,17,jupyter-widgets/jupyterlab-sidecar,sidecar,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-10-26 14:58:49.000000,2021-07-04 21:12:58.000000,35.0,19.0,10.0,187.0,69.0,2021-03-11 01:34:17.000000,0.5.1,,2737.0,1.0,3.0,3.0,13.0,https://pypi.org/project/sidecar,1603.0,,,,2.0,,,,,,@jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,1134.0,,,,,,,,
129,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,krishnan-r/sparkmonitor,sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,2017-05-31 09:13:01.000000,2021-02-03 03:28:03.000000,2021-02-03 03:28:02.000000,47.0,15.0,7.0,162.0,214.0,2018-05-29 18:46:14.000000,0.0.9,2374.0,1999.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,1938.0,,,,2.0,krishnanr/sparkmonitor,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,894.0,,Apache-2.0,,,,,,,,,,
130,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,17,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,2016-11-21 02:23:14.000000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57.000000,23.0,16.0,18.0,148.0,188.0,2017-03-05 04:26:44.000000,0.2.0,,1355.0,8.0,67.0,67.0,6.0,https://pypi.org/project/spylon-kernel,,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447000,77267.0,2.0,,,,,,,,,,,vericast/spylon-kernel,,,,,,
131,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000000,2021-04-26 14:44:49.000000,2020-06-18 03:28:01.000000,23.0,88.0,93.0,70.0,269.0,2020-06-18 03:30:24.000000,0.5.10,,267.0,17.0,24.0,24.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,267.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,
