,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,license,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,trending,cran_id,gem_id,pypi,hex_id,bitbucket_id
57,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,21,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000000,2021-05-10 22:22:23.000000,2021-05-10 22:22:23.000000,71.0,25.0,113.0,263.0,1071.0,,,,7710.0,46.0,504.0,504.0,28.0,https://pypi.org/project/metakernel,,https://anaconda.org/conda-forge/metakernel,2020-11-11 18:56:46.728000,516620.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
58,ipyvuetify,True,Jupyter widgets based on vuetify UI components.,https://github.com/mariobuikhuizen/ipyvuetify,,widgets,21,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/mariobuikhuizen/ipyvuetify,2019-05-14 17:35:51.000000,2021-10-21 13:01:38.000000,2021-08-26 11:23:10.000000,38.0,31.0,106.0,229.0,201.0,2021-06-15 13:48:33.000000,1.7.0,,49637.0,27.0,4.0,4.0,10.0,https://pypi.org/project/ipyvuetify,47380.0,https://anaconda.org/conda-forge/ipyvuetify,2021-08-06 15:11:56.646000,63218.0,2.0,,,,,,MIT,,,,,,,,,,,
59,sos,True,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,21,vatlab/SOS,,,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2021-08-02 17:37:33.000000,2021-05-24 03:32:18.000000,27.0,57.0,1352.0,208.0,7499.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,1303.0,1303.0,33.0,,,,,,3.0,,,,,,BSD-3-Clause,,,,,,,,,,,
60,ipywebrtc,True,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,21,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,2017-08-10 18:07:51.000000,2021-03-29 11:48:21.469000,2021-03-29 11:25:59.000000,30.0,27.0,20.0,193.0,209.0,,,,41382.0,8.0,370.0,370.0,9.0,https://pypi.org/project/ipywebrtc,36711.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469000,219515.0,2.0,,,,,,MIT,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,367.0,,,,,,,,
61,jupyter-server-proxy,True,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,21,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,2016-10-18 22:02:06.000000,2021-11-01 19:00:19.000000,2021-11-01 19:00:19.000000,97.0,57.0,83.0,192.0,707.0,2018-12-10 14:39:58.000000,0.8.8,,70771.0,13.0,1.0,1.0,58.0,https://pypi.org/project/jupyter-server-proxy,54401.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2021-07-04 06:56:46.142000,540233.0,1.0,,,,,,BSD-3-Clause,,,,,,,,,,,
62,nbgitpuller,True,Jupyter server extension to sync a git repository one-way to a..,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,21,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-11-04 04:19:02.000000,2021-11-03 23:48:03.000000,51.0,38.0,67.0,144.0,,,,,83499.0,10.0,386.0,386.0,23.0,https://pypi.org/project/nbgitpuller,82643.0,https://anaconda.org/conda-forge/nbgitpuller,2021-09-03 01:35:54.657000,24827.0,1.0,,,,,,BSD-3-Clause,,,,,,3.0,,,,,
63,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,20,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-08-16 22:05:29.000000,2021-05-06 12:01:05.000000,818.0,76.0,76.0,6717.0,264.0,2019-07-01 16:35:20.000000,1.0.0,,,4.0,73.0,73.0,28.0,https://pypi.org/project/facets-overview,,,,,2.0,,,,,,Apache-2.0,,,,,,,,,,,
64,Hydrogen,True,"Run code interactively, inspect data, and plot. All the power of Jupyter..",https://github.com/nteract/hydrogen,,notebook-environments,20,nteract/hydrogen,,,https://github.com/nteract/hydrogen,2015-05-11 01:16:55.000000,2021-10-20 06:32:26.000000,2021-10-16 10:59:33.000000,304.0,149.0,1093.0,3746.0,2359.0,2021-06-02 09:44:54.000000,2.16.3,,,90.0,,,88.0,,,,,,3.0,,,,,,MIT,,,,,,,,,,,
65,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,20,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000000,2021-06-25 03:13:35.000000,2020-04-07 18:56:49.000000,363.0,144.0,124.0,2770.0,405.0,2020-04-07 16:34:17.000000,1.3.1,,8079.0,21.0,1.0,1.0,30.0,https://pypi.org/project/qgrid,,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336000,323820.0,2.0,,,,,,Apache-2.0,qgrid,https://www.npmjs.com/package/qgrid,883.0,,,,,,,,
66,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,20,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15.000000,2021-10-11 02:14:16.000000,2021-07-13 22:08:40.000000,283.0,4.0,68.0,2282.0,,2021-07-13 22:12:59.000000,0.13.2,,16571.0,4.0,,,10.0,,,,,,3.0,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,19.0,497136.0,Apache-2.0,,,,,,,,,,,
