,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,license,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
250,YarnSpawner,True,Spawn JupyterHub single user notebook servers in Hadoop/YARN..,https://github.com/jupyterhub/yarnspawner,,hub-spawners,10,jupyterhub/yarnspawner,jupyterhub-yarnspawner,conda-forge/jupyterhub-yarnspawner,https://github.com/jupyterhub/yarnspawner,2018-12-18 19:31:03.000,2021-11-17 00:47:27.479000,2019-07-16 16:58:16,9.0,5.0,4.0,18.0,37.0,,,,763.0,4.0,,,2.0,https://pypi.org/project/jupyterhub-yarnspawner,108.0,https://anaconda.org/conda-forge/jupyterhub-yarnspawner,2021-11-17 00:47:27.479,25550.0,3.0,BSD-3-Clause,,,,,,,,,,,,,,,,
251,Theme Toggle,True,JupyterLab extension to toggle the theme in the Top Bar area.,https://github.com/jtpio/jupyterlab-theme-toggle,,lab-themes,10,jtpio/jupyterlab-theme-toggle,,,https://github.com/jtpio/jupyterlab-theme-toggle,2019-07-27 08:45:07.000,2022-03-24 09:47:33.000000,2021-06-16 11:42:31,3.0,2.0,1.0,11.0,,,,,1973.0,,2.0,2.0,2.0,,,,,,3.0,BSD-3-Clause,,jupyterlab-theme-toggle,https://www.npmjs.com/package/jupyterlab-theme-toggle,1973.0,,,,,,,,,,,,
252,remote_ikernel,True,"All your Jupyter kernels, on all your machines, in one place.",https://github.com/tdaff/remote_ikernel,,kernels,10,tdaff/remote_ikernel,remote_ikernel,,https://github.com/tdaff/remote_ikernel,2017-07-11 14:29:42.000,2020-11-08 22:41:49.000000,2020-11-08 22:02:16,9.0,8.0,18.0,8.0,78.0,,,,339.0,,,,7.0,https://pypi.org/project/remote_ikernel,339.0,,,,3.0,BSD-2-Clause,,,,,,,,,,,,,,,,tdaff/remote_ikernel
253,JupyterLab Top Bar,True,JupyterLab Top Bar extension.,https://github.com/jtpio/jupyterlab-topbar,,lab-extensions,10,jtpio/jupyterlab-topbar,,,https://github.com/jtpio/jupyterlab-topbar,2021-05-31 16:53:55.000,2021-12-10 13:46:30.000000,2021-12-07 08:56:36,1.0,,,3.0,,,,,9389.0,,,,4.0,,,,,,3.0,BSD-3-Clause,,jupyterlab-topbar-extension,https://www.npmjs.com/package/jupyterlab-topbar-extension,9389.0,,,,,,,,,,,,
254,Vision UI,True,UI visual interface for fastai - now compatible with Google..,https://github.com/asvcode/Vision_UI,,widgets,9,asvcode/Vision_UI,,,https://github.com/asvcode/Vision_UI,2019-05-23 04:53:03.000,2020-07-05 04:00:59.000000,2020-07-05 04:00:59,32.0,1.0,2.0,248.0,112.0,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,
255,ipyannotate,True,Jupyter Widget for data annotation.,https://github.com/ipyannotate/ipyannotate,,widgets,9,ipyannotate/ipyannotate,ipyannotate,,https://github.com/ipyannotate/ipyannotate,2018-07-23 19:23:28.000,2021-06-15 16:10:40.000000,2020-09-20 09:38:39,10.0,4.0,,120.0,27.0,,,,163.0,,,,3.0,https://pypi.org/project/ipyannotate,160.0,,,,3.0,,,ipyannotate,https://www.npmjs.com/package/ipyannotate,3.0,,,,,,,,,,,,
256,jupyterlab-gitplus,True,JupyterLab extension to create GitHub commits & pull..,https://github.com/ReviewNB/jupyterlab-gitplus,,lab-extensions,9,ReviewNB/jupyterlab-gitplus,jupyterlab_gitplus,,https://github.com/ReviewNB/jupyterlab-gitplus,2020-03-05 13:43:58.000,2022-01-22 04:52:18.000000,2021-08-06 07:04:12,9.0,2.0,8.0,93.0,112.0,,,,348.0,,,,2.0,https://pypi.org/project/jupyterlab_gitplus,247.0,,,,3.0,AGPL-3.0,,@reviewnb/jupyterlab_gitplus,https://www.npmjs.com/package/@reviewnb/jupyterlab_gitplus,101.0,,,,,,,,,,,,
257,PPExtensions,True,Set of iPython and Jupyter extensions to improve user..,https://github.com/paypal/PPExtensions,,jupyter-extensions,9,paypal/PPExtensions,ppextensions,,https://github.com/paypal/PPExtensions,2018-08-17 20:07:23.000,2019-11-22 13:46:43.000000,2018-12-07 00:05:33,26.0,16.0,22.0,49.0,32.0,,,,83.0,,1.0,1.0,9.0,https://pypi.org/project/ppextensions,83.0,,,,3.0,,,,,,,,,,,,,,,,,
258,Gruvbox Theme,True,Gruvbox dark theme for Jupyter Lab. Modeled on classic..,https://github.com/Rahlir/theme-gruvbox,,lab-themes,9,Rahlir/theme-gruvbox,,,https://github.com/Rahlir/theme-gruvbox,2019-05-03 20:34:01.000,2020-04-12 19:23:01.000000,2020-04-12 19:22:55,10.0,,,46.0,44.0,,,,163.0,,,,3.0,,,,,,3.0,,,@rahlir/theme-gruvbox,https://www.npmjs.com/package/@rahlir/theme-gruvbox,163.0,,,,,,,,,,,,
259,CAS Authenticator,True,CAS authenticator for Jupyterhub.,https://github.com/cwaldbieser/jhub_cas_authenticator,,hub-auth,9,cwaldbieser/jhub_cas_authenticator,jhub_cas_authenticator,,https://github.com/cwaldbieser/jhub_cas_authenticator,2017-09-17 19:17:08.000,2020-03-27 22:24:32.000000,2020-03-27 22:23:51,10.0,1.0,10.0,17.0,40.0,,,,219.0,,,,4.0,https://pypi.org/project/jhub_cas_authenticator,219.0,,,,3.0,GPL-3.0,,,,,,,,,,,,,,,,
