,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
233,jupyter-flex,True,Build dashboards using Jupyter Notebooks.,https://github.com/danielfrg/jupyter-flex,,notebook-sharing,11,,danielfrg/jupyter-flex,,,https://github.com/danielfrg/jupyter-flex,2019-12-13 20:19:40.000,2022-02-14 05:37:15.000000,2022-02-14 05:37:09,41.0,9.0,43.0,232.0,,,,,,,1.0,1.0,4.0,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
234,SQLCell,True,"SQLCell is a magic function for the Jupyter Notebook that executes raw,..",https://github.com/tmthyjames/SQLCell,,magic,11,sqlcell,tmthyjames/SQLCell,,,https://github.com/tmthyjames/SQLCell,2016-08-15 01:54:46.000,2021-08-23 20:09:58.000000,2020-10-06 02:14:24,9.0,60.0,24.0,144.0,310.0,,,,39.0,,1.0,1.0,14.0,https://pypi.org/project/sqlcell,39.0,,,,,,,,3.0,MIT,,,,,,,,,,,
235,ipyexperiments,True,jupyter/ipython experiment containers for GPU and general..,https://github.com/stas00/ipyexperiments,,notebook-tools,11,ipyexperiments,stas00/ipyexperiments,,,https://github.com/stas00/ipyexperiments,2018-11-15 01:19:40.000,2021-12-07 18:50:39.000000,2021-12-07 18:50:38,10.0,,5.0,144.0,203.0,,,,94.0,,5.0,5.0,3.0,https://pypi.org/project/ipyexperiments,94.0,,,,,,,,3.0,,,,,,,,,,,,
236,Jupyter DataTables,True,Jupyter Notebook extension leveraging pandas DataFrames..,https://github.com/CermakM/jupyter-datatables,,widgets,11,jupyter-datatables,CermakM/jupyter-datatables,,,https://github.com/CermakM/jupyter-datatables,2019-03-28 20:55:12.000,2019-12-11 12:10:31.000000,2019-12-11 12:10:07,14.0,13.0,15.0,139.0,147.0,,,,335.0,,,,4.0,https://pypi.org/project/jupyter-datatables,335.0,,,,,,,,3.0,MIT,,,,,,,,,,,
237,xeus-sqlite,True,Jupyter kernel for SQLite.,https://github.com/jupyter-xeus/xeus-sqlite,,kernels,11,,jupyter-xeus/xeus-sqlite,,,https://github.com/jupyter-xeus/xeus-sqlite,2020-03-11 11:24:36.000,2022-02-08 19:32:53.000000,2022-02-08 19:32:53,20.0,11.0,29.0,129.0,271.0,,,,,,,,12.0,,,,,,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
238,jupyterlab-celltags,True,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,11,,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29,25.0,11.0,7.0,112.0,441.0,,,,,,,,10.0,,,,,,,,,,3.0,BSD-3-Clause,,,,-4.0,,,,,,,
239,Neon Theme,True,"A flat, 80's neon inspired theme for JupyterLab.",https://github.com/yeebc/jupyterlab-neon-theme,,lab-themes,11,,yeebc/jupyterlab-neon-theme,,,https://github.com/yeebc/jupyterlab-neon-theme,2019-09-27 14:29:10.000,2021-03-07 04:41:08.000000,2021-03-07 04:40:47,4.0,2.0,10.0,110.0,43.0,,,,977.0,,1.0,1.0,3.0,,,,,,,,,,3.0,BSD-3-Clause,@yeebc/jupyterlab_neon_theme,https://www.npmjs.com/package/@yeebc/jupyterlab_neon_theme,977.0,,,,,,,,
240,Horizon Theme,True,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,11,,mohirio/jupyterlab-horizon-theme,,,https://github.com/mohirio/jupyterlab-horizon-theme,2019-06-07 08:46:59.000,2021-06-20 08:20:16.000000,2021-04-11 16:55:54,1.0,1.0,4.0,45.0,25.0,,,,3046.0,,,,,,,,,,,,,,3.0,BSD-3-Clause,@mohirio/jupyterlab-horizon-theme,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,3046.0,,,,,,,,
241,KnowledgeLab,True,KnowledgeRepo + JupyterLab.,https://github.com/timkpaine/knowledgelab,,lab-extensions,11,knowledgelab,timkpaine/knowledgelab,,,https://github.com/timkpaine/knowledgelab,2017-10-18 01:10:58.000,2022-02-12 12:13:42.000000,2022-02-02 18:58:14,6.0,3.0,24.0,43.0,119.0,,,,30.0,1.0,2.0,2.0,3.0,https://pypi.org/project/knowledgelab,4.0,,,,,,,,3.0,Apache-2.0,knowledgelab,https://www.npmjs.com/package/knowledgelab,26.0,,,,,,,,
242,perfume,True,Interactive performance benchmarking in Jupyter.,https://github.com/leifwalsh/perfume,,widgets,11,perfume-bench,leifwalsh/perfume,,,https://github.com/leifwalsh/perfume,2017-07-10 14:34:03.000,2022-02-14 17:50:06.000000,2020-10-31 19:46:42,4.0,2.0,4.0,33.0,196.0,2018-05-20 05:09:14,0.1.6,,34.0,1.0,,,3.0,https://pypi.org/project/perfume-bench,34.0,,,,,,,,3.0,,,,,,,,,,,,
243,Remote User Auth,True,REMOTE_USER authenticator for Jupyterhub.,https://github.com/cwaldbieser/jhub_remote_user_authenticator,,hub-auth,11,jhub_remote_user_authenticator,cwaldbieser/jhub_remote_user_authenticator,,,https://github.com/cwaldbieser/jhub_remote_user_authenticator,2015-11-04 03:17:18.000,2020-04-02 12:59:46.000000,2019-04-16 20:10:44,26.0,8.0,9.0,31.0,27.0,,,,470.0,,,,5.0,https://pypi.org/project/jhub_remote_user_authenticator,470.0,,,,,,,,3.0,GPL-3.0,,,,,,,,,,,
244,JupyterLab Top Bar,True,JupyterLab Top Bar extension.,https://github.com/jtpio/jupyterlab-topbar,,lab-extensions,11,,jtpio/jupyterlab-topbar,,,https://github.com/jtpio/jupyterlab-topbar,2021-05-31 16:53:55.000,2021-12-10 13:46:30.000000,2021-12-07 08:56:36,1.0,,,3.0,,,,,10378.0,,,,4.0,,,,,,,,,,3.0,BSD-3-Clause,jupyterlab-topbar-extension,https://www.npmjs.com/package/jupyterlab-topbar-extension,10378.0,,,,,,,,
245,jupyterlab-flake8,True,Jupyterlab python linter for notebooks and text files..,https://github.com/mlshapiro/jupyterlab-flake8,,lab-extensions,10,,mlshapiro/jupyterlab-flake8,,,https://github.com/mlshapiro/jupyterlab-flake8,2018-04-11 16:16:59.000,2021-09-16 16:01:09.000000,2021-09-16 16:01:07,9.0,5.0,33.0,104.0,,,,,261.0,,,,5.0,,,,,,,,,,3.0,BSD-3-Clause,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,261.0,,,,,,,,
246,jnotebook-reader,True,An awesome viewer to browse and render Jupyter..,https://github.com/line/jnotebook_reader,,notebook-sharing,10,,line/jnotebook_reader,,,https://github.com/line/jnotebook_reader,2020-10-30 02:50:59.000,2021-09-08 19:36:55.000000,2021-02-10 02:29:57,14.0,1.0,1.0,94.0,12.0,2021-02-10 02:34:21,1.0.2,,,3.0,,,5.0,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,,
247,jupyterlab-gitplus,True,JupyterLab extension to create GitHub commits & pull..,https://github.com/ReviewNB/jupyterlab-gitplus,,lab-extensions,10,jupyterlab_gitplus,ReviewNB/jupyterlab-gitplus,,,https://github.com/ReviewNB/jupyterlab-gitplus,2020-03-05 13:43:58.000,2022-01-22 04:52:18.000000,2021-08-06 07:04:12,8.0,2.0,8.0,90.0,112.0,,,,213.0,,,,2.0,https://pypi.org/project/jupyterlab_gitplus,91.0,,,,,,,,3.0,AGPL-3.0,@reviewnb/jupyterlab_gitplus,https://www.npmjs.com/package/@reviewnb/jupyterlab_gitplus,122.0,,,,,,,,
248,ipysigma,True,A custom Jupyter widget library to display graphs using sigma.js.,https://github.com/Yomguithereal/ipysigma,,widgets,10,ipysigma,Yomguithereal/ipysigma,,,https://github.com/Yomguithereal/ipysigma,2018-06-25 20:03:21.000,2021-05-07 11:44:55.000000,2020-06-30 13:07:41,4.0,3.0,2.0,31.0,39.0,,,,41.0,,,,3.0,https://pypi.org/project/ipysigma,31.0,,,,,,,,3.0,MIT,ipysigma,https://www.npmjs.com/package/ipysigma,10.0,,,,,,,,
249,FargateSpawner,True,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,10,fargatespawner,uktrade/fargatespawner,,,https://github.com/uktrade/fargatespawner,2018-09-12 14:06:22.000,2020-06-28 13:26:04.000000,2020-06-28 13:25:54,19.0,5.0,4.0,30.0,59.0,,,,120.0,,1.0,1.0,3.0,https://pypi.org/project/fargatespawner,120.0,,,,,,,,3.0,MIT,,,,,,,,,,,
250,YarnSpawner,True,Spawn JupyterHub single user notebook servers in Hadoop/YARN..,https://github.com/jupyterhub/yarnspawner,,hub-spawners,10,jupyterhub-yarnspawner,jupyterhub/yarnspawner,conda-forge/jupyterhub-yarnspawner,,https://github.com/jupyterhub/yarnspawner,2018-12-18 19:31:03.000,2021-11-17 00:47:27.479000,2019-07-16 16:58:16,9.0,5.0,4.0,18.0,37.0,,,,822.0,4.0,,,2.0,https://pypi.org/project/jupyterhub-yarnspawner,148.0,https://anaconda.org/conda-forge/jupyterhub-yarnspawner,2021-11-17 00:47:27.479,24958.0,,,,,3.0,BSD-3-Clause,,,,,,,,,,,
251,remote_ikernel,True,"All your Jupyter kernels, on all your machines, in one place.",https://github.com/tdaff/remote_ikernel,,kernels,10,remote_ikernel,tdaff/remote_ikernel,,,https://github.com/tdaff/remote_ikernel,2017-07-11 14:29:42.000,2020-11-08 22:41:49.000000,2020-11-08 22:02:16,9.0,8.0,18.0,8.0,78.0,,,,274.0,,,,7.0,https://pypi.org/project/remote_ikernel,274.0,,,,,,,,3.0,BSD-2-Clause,,,,,,,,,,,tdaff/remote_ikernel
252,JupyterLab Spark,True,Spark Application UI extension for JupyterLab.,https://github.com/manuzhang/jupyterlab_spark,,lab-extensions,10,,manuzhang/jupyterlab_spark,,,https://github.com/manuzhang/jupyterlab_spark,2019-04-20 06:31:59.000,2021-09-05 13:13:14.000000,2021-09-05 13:10:26,2.0,2.0,3.0,8.0,21.0,2021-09-05 06:59:55,0.4.0,,53.0,3.0,,,2.0,,,,,,,,,,3.0,Apache-2.0,jupyterlab_spark,https://www.npmjs.com/package/jupyterlab_spark,53.0,,,,,,,,
253,Vision UI,True,UI visual interface for fastai - now compatible with Google..,https://github.com/asvcode/Vision_UI,,widgets,9,,asvcode/Vision_UI,,,https://github.com/asvcode/Vision_UI,2019-05-23 04:53:03.000,2020-07-05 04:00:59.000000,2020-07-05 04:00:59,32.0,1.0,2.0,248.0,112.0,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,
254,JupyterLab Bytecode,True,JupyterLab extension to explore CPython Bytecode.,https://github.com/jtpio/jupyterlab-python-bytecode,,lab-extensions,9,,jtpio/jupyterlab-python-bytecode,,,https://github.com/jtpio/jupyterlab-python-bytecode,2018-09-29 19:55:49.000,2022-02-11 12:16:47.000000,2020-10-16 21:38:08,5.0,2.0,3.0,58.0,114.0,,,,15.0,,,,2.0,,,,,,,,,,3.0,BSD-3-Clause,jupyterlab-python-bytecode,https://www.npmjs.com/package/jupyterlab-python-bytecode,15.0,,,,,,,,
255,PPExtensions,True,Set of iPython and Jupyter extensions to improve user..,https://github.com/paypal/PPExtensions,,jupyter-extensions,9,ppextensions,paypal/PPExtensions,,,https://github.com/paypal/PPExtensions,2018-08-17 20:07:23.000,2019-11-22 13:46:43.000000,2018-12-07 00:05:33,26.0,16.0,22.0,49.0,32.0,,,,46.0,,1.0,1.0,9.0,https://pypi.org/project/ppextensions,46.0,,,,,,,,3.0,,,,,,,,,,,,
