,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
10,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,ipympl,matplotlib/ipympl,,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-11-18 15:26:39.000000,2021-11-16 07:45:33.000000,166.0,92.0,126.0,1183.0,404.0,2021-10-25 07:46:42.000000,0.8.2,,141981.0,18.0,2168.0,2168.0,25.0,https://pypi.org/project/ipympl,82469.0,,,,,,,,1.0,BSD-3-Clause,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,59512.0,,,,,,,
11,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,29,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-11-23 22:18:09.316000,2021-11-23 16:57:45.000000,160.0,95.0,194.0,284.0,1811.0,,,,32544.0,30.0,88519.0,88519.0,111.0,https://pypi.org/project/qtconsole,,https://anaconda.org/conda-forge/qtconsole,2021-11-23 22:18:09.316000,2147953.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
12,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,29,nbformat,jupyter/nbformat,conda-forge/nbformat,,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-11-24 17:21:13.000000,2021-06-10 23:11:53.000000,116.0,45.0,64.0,155.0,752.0,2021-04-02 04:40:43.000000,5.1.3,,15555059.0,13.0,130629.0,130629.0,58.0,https://pypi.org/project/nbformat,15456021.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6635549.0,,,,,1.0,,,,,,,,,,,,
13,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,28,ipyleaflet,jupyter-widgets/ipyleaflet,conda-forge/ipyleaflet,,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-11-18 18:18:40.000000,2021-11-16 09:50:00.000000,293.0,172.0,277.0,1193.0,958.0,2021-07-21 12:23:32.000000,0.14.0,,53353.0,60.0,1271.0,1271.0,71.0,https://pypi.org/project/ipyleaflet,,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,773928.0,,,,,1.0,MIT,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,41627.0,,,,,,,
14,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,28,nbclient,jupyter/nbclient,conda-forge/nbclient,,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-11-19 13:08:45.492000,2021-11-19 09:11:46.000000,37.0,22.0,50.0,81.0,237.0,2021-11-19 09:12:41.000000,0.5.9,5.0,14742605.0,15.0,35042.0,35042.0,27.0,https://pypi.org/project/nbclient,14631682.0,https://anaconda.org/conda-forge/nbclient,2021-11-19 13:08:45.492000,2329364.0,,,,,1.0,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot,bqplot/bqplot,conda-forge/bqplot,,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-11-24 09:25:21.000000,2021-11-24 09:25:19.000000,426.0,196.0,352.0,3186.0,3432.0,2021-10-01 09:14:45.000000,0.12.31,,94504.0,54.0,28.0,28.0,55.0,https://pypi.org/project/bqplot,61613.0,https://anaconda.org/conda-forge/bqplot,2021-10-01 09:49:41.042000,898619.0,,,,,2.0,Apache-2.0,,bqplot,https://www.npmjs.com/package/bqplot,19276.0,,,,,,,
16,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,26,jupytext,mwouts/jupytext,conda-forge/jupytext,,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-11-24 13:42:43.000000,2021-10-14 20:01:24.000000,304.0,77.0,401.0,4941.0,,2021-11-08 21:15:15.000000,1.13.1.2,,142419.0,100.0,2131.0,2131.0,66.0,https://pypi.org/project/jupytext,119699.0,https://anaconda.org/conda-forge/jupytext,2021-11-09 07:11:32.407000,244319.0,,,,,1.0,MIT,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,15934.0,,,,,,,
17,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,papermill,nteract/papermill,conda-forge/papermill,,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-10-21 18:29:28.606000,2021-10-20 19:57:13.000000,334.0,97.0,231.0,4429.0,,,,,454079.0,16.0,1786.0,1786.0,95.0,https://pypi.org/project/papermill,448845.0,https://anaconda.org/conda-forge/papermill,2021-10-21 18:29:28.606000,204132.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
18,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/maartenbreddels/ipyvolume,,widgets,26,ipyvolume,maartenbreddels/ipyvolume,conda-forge/ipyvolume,,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-11-04 16:00:54.000000,2021-11-01 12:36:42.000000,204.0,159.0,127.0,1693.0,970.0,2018-06-11 13:56:17.000000,0.4.5,,36648.0,16.0,620.0,620.0,39.0,https://pypi.org/project/ipyvolume,27729.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,329204.0,,,,,2.0,MIT,,ipyvolume,https://www.npmjs.com/package/ipyvolume,3144.0,,,,,,,
19,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,jupyterlab-git,jupyterlab/jupyterlab-git,conda-forge/jupyterlab-git,,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-11-13 12:39:40.449000,2021-11-13 09:38:30.000000,197.0,80.0,415.0,1003.0,1732.0,2021-11-13 09:55:18.000000,0.34.0,,138550.0,35.0,14.0,14.0,68.0,https://pypi.org/project/jupyterlab-git,135451.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-11-13 12:39:40.449000,108489.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
20,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,26,jupyter-client,jupyter/jupyter_client,,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-11-24 22:44:33.000000,2021-11-22 17:52:30.000000,212.0,123.0,165.0,247.0,2114.0,2021-11-22 17:53:24.000000,7.1.0,100.0,15237444.0,9.0,,,108.0,https://pypi.org/project/jupyter-client,15237411.0,,,,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
21,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-11-24 20:16:05.000000,2021-11-22 21:26:25.000000,1569.0,160.0,1854.0,6768.0,,,,,257275.0,22.0,1559.0,1559.0,260.0,https://pypi.org/project/jupyterhub,223064.0,https://anaconda.org/conda-forge/jupyterhub,2021-11-16 08:45:15.675000,473126.0,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-11-18 14:52:25.344679,301.0,2406833.0,2.0,,,,,,,,,,,,
22,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,25,facets-overview,pair-code/facets,,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-08-16 22:05:29.000000,2021-05-06 12:01:05.000000,818.0,76.0,76.0,6738.0,264.0,2019-07-01 16:35:20.000000,1.0.0,,203278.0,4.0,89.0,89.0,28.0,https://pypi.org/project/facets-overview,203278.0,,,,,,,,2.0,Apache-2.0,4.0,,,,,,,,,,
23,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,,jupyter/docker-stacks,,jupyter/scipy-notebook,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-11-22 21:06:14.000000,2021-11-22 21:06:14.000000,2416.0,68.0,635.0,6666.0,2390.0,,,,986738.0,,,,210.0,,,,,,https://hub.docker.com/r/jupyter/scipy-notebook,2021-11-20 12:49:27.424815,323.0,74992153.0,2.0,BSD-3-Clause,,,,,,,,,,,
24,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract_on_jupyter,nteract/nteract,,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-11-14 12:30:26.000000,2021-11-03 02:51:26.000000,513.0,149.0,1514.0,5708.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1273966.0,24508.0,66.0,,,172.0,https://pypi.org/project/nteract_on_jupyter,5206.0,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
25,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,25,nikola,getnikola/nikola,,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-11-09 20:55:38.000000,2021-11-09 20:55:36.000000,331.0,33.0,2036.0,2209.0,10238.0,2021-02-13 17:21:54.000000,8.1.3,,,73.0,392.0,392.0,222.0,https://pypi.org/project/nikola,,,,,,,,,1.0,MIT,,,,,,,,,,,
26,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,25,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-11-13 15:23:35.182000,2021-06-29 17:43:55.000000,228.0,97.0,37.0,1457.0,253.0,,,,2046.0,3.0,2435.0,2435.0,44.0,https://pypi.org/project/ipython-sql,,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182000,128908.0,,,,,1.0,MIT,,,,,,,,,,,
27,JupyterLab LSP,True,Coding assistance for JupyterLab (code navigation + hover..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,25,,krassowski/jupyterlab-lsp,,,https://github.com/jupyter-lsp/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-11-18 17:23:46.000000,2021-10-30 20:31:51.000000,78.0,125.0,245.0,1094.0,2204.0,2021-10-25 07:36:41.000000,3.9.1,,9394.0,37.0,89.0,89.0,35.0,,,,,,,,,,1.0,BSD-3-Clause,,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,9394.0,jupyter-lsp/jupyterlab-lsp,,,,,,
28,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust,pixiedust/pixiedust,conda-forge/pixiedust,,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41.000000,157.0,164.0,260.0,1028.0,2157.0,2019-12-04 15:06:08.000000,1.1.18,,17154.0,19.0,224.0,224.0,33.0,https://pypi.org/project/pixiedust,15745.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331000,33818.0,,,,,2.0,Apache-2.0,,,,,,,,,,,
29,DataLab,True,Interactive tools and developer experiences for Big Data on..,https://github.com/googledatalab/datalab,,notebook-environments,25,datalab,googledatalab/datalab,,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48.000000,244.0,223.0,667.0,964.0,2054.0,2021-08-16 19:04:35.000000,1.2.20210816,,3675456.0,19.0,,,52.0,https://pypi.org/project/datalab,3675456.0,,,,,,,,2.0,Apache-2.0,,,,,,,,,,,
30,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,24,perspective-python,finos/perspective,,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-11-23 23:19:07.000000,2021-11-23 23:19:06.000000,407.0,58.0,407.0,3944.0,4872.0,,,,1843.0,,215.0,215.0,65.0,https://pypi.org/project/perspective-python,,,,,,,,,1.0,Apache-2.0,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,1843.0,,,,,,,
31,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,24,voila,voila-dashboards/voila,conda-forge/voila,,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-11-17 16:28:07.000000,2021-11-17 14:46:34.000000,357.0,228.0,318.0,3688.0,,2021-10-04 13:58:22.000000,0.2.16,90.0,7708.0,52.0,5317.0,5317.0,56.0,https://pypi.org/project/voila,,https://anaconda.org/conda-forge/voila,2021-10-04 18:58:51.716000,155043.0,,,,,2.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,3473.0,,,,,,,
32,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,RISE,damianavila/RISE,conda-forge/rise,,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-11-24 06:23:47.000000,2021-04-29 10:13:29.000000,365.0,134.0,280.0,3139.0,737.0,,,,13122.0,9.0,1691.0,1691.0,39.0,https://pypi.org/project/RISE,9089.0,https://anaconda.org/conda-forge/rise,2021-11-16 18:12:02.058000,181512.0,,,,,2.0,,,,,,,,,,,,
33,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,nbdev,fastai/nbdev,,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2021-11-09 14:15:22.000000,2021-10-29 23:19:32.000000,314.0,74.0,264.0,3039.0,1284.0,2021-10-29 23:19:34.000000,1.1.23,,46702.0,18.0,,,60.0,https://pypi.org/project/nbdev,46702.0,,,,,,,,2.0,Apache-2.0,,,,,,,,,,,
34,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,24,dtale,man-group/dtale,conda-forge/dtale,,https://github.com/man-group/dtale,2019-07-15 09:34:48.000000,2021-11-24 20:55:21.000000,2021-11-24 03:43:32.000000,216.0,34.0,398.0,2790.0,538.0,2021-11-16 03:33:21.000000,1.61.0,,4628.0,103.0,266.0,266.0,18.0,https://pypi.org/project/dtale,,https://anaconda.org/conda-forge/dtale,2021-11-18 04:41:08.411000,97202.0,,,,,2.0,LGPL-2.1,,,,,,,,,,,
35,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,24,jupyter-book,executablebooks/jupyter-book,,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-11-22 16:30:10.000000,2021-11-19 19:20:50.000000,388.0,354.0,587.0,2550.0,1303.0,2021-11-19 04:25:23.000000,0.12.1,,29638.0,34.0,,,92.0,https://pypi.org/project/jupyter-book,29638.0,,,,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
36,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,24,,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-09-22 00:23:00.000000,2021-03-31 14:20:34.000000,36.0,17.0,244.0,532.0,1174.0,2020-12-10 14:31:28.000000,0.3.7,,119866.0,28.0,115.0,115.0,11.0,,,,,,,,,,1.0,BSD-3-Clause,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,119866.0,,,,,,,
37,ipycanvas,True,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,24,ipycanvas,martinRenou/ipycanvas,conda-forge/ipycanvas,,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2021-11-25 11:54:13.000000,2021-11-23 09:58:41.000000,40.0,34.0,61.0,486.0,373.0,2021-10-22 14:54:24.000000,0.9.1,,11146.0,26.0,305.0,305.0,14.0,https://pypi.org/project/ipycanvas,9887.0,https://anaconda.org/conda-forge/ipycanvas,2021-10-22 15:09:58.512000,32750.0,,,,,2.0,BSD-3-Clause,,,,,,,,,,,
38,OAuthenticator,True,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,24,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000000,2021-11-22 21:26:41.000000,2021-11-22 21:26:40.000000,293.0,26.0,183.0,324.0,930.0,,,,38472.0,12.0,236.0,236.0,103.0,https://pypi.org/project/oauthenticator,37870.0,https://anaconda.org/conda-forge/oauthenticator,2021-07-19 15:40:38.273000,18672.0,,,,,1.0,BSD-3-Clause,,,,,,,,,,,
39,BeakerX,True,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,23,beakerx,twosigma/beakerx,conda-forge/beakerx,beakerx/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-11-18 19:15:17.218000,2021-01-21 14:02:57.000000,369.0,343.0,4174.0,2612.0,1689.0,2018-12-04 18:27:21.000000,1.3.0,31.0,21632.0,39.0,,,43.0,https://pypi.org/project/beakerx,8447.0,https://anaconda.org/conda-forge/beakerx,2021-11-18 19:15:17.218000,471408.0,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,22.0,244265.0,2.0,Apache-2.0,,beakerx,https://www.npmjs.com/package/beakerx,1186.0,,,,,,,
40,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,23,nbdime,jupyter/nbdime,conda-forge/nbdime,,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-11-03 11:51:17.000000,2021-11-03 11:51:16.000000,122.0,57.0,217.0,2122.0,1952.0,,,,350107.0,21.0,62.0,62.0,34.0,https://pypi.org/project/nbdime,217736.0,https://anaconda.org/conda-forge/nbdime,2021-10-26 17:29:52.628000,412338.0,,,,,2.0,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,125383.0,,,,,,,
41,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,23,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2021-11-23 09:34:47.000000,2021-11-23 08:47:02.000000,806.0,46.0,260.0,2110.0,,,,,65827.0,18.0,1737.0,1737.0,103.0,https://pypi.org/project/ipyparallel,57852.0,https://anaconda.org/conda-forge/ipyparallel,2021-11-12 14:45:30.388000,534381.0,,,,,2.0,,,,,,,,,,,,
42,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,23,sparkmagic,jupyter-incubator/sparkmagic,conda-forge/sparkmagic,,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-11-09 17:40:50.000000,2021-09-09 18:47:00.000000,362.0,123.0,257.0,1067.0,1163.0,2021-08-27 16:28:41.000000,0.19.1,,726.0,15.0,217.0,217.0,54.0,https://pypi.org/project/sparkmagic,,https://anaconda.org/conda-forge/sparkmagic,2021-08-17 12:12:12.530000,37049.0,,,,,1.0,,,,,,,,,,,,
43,Mapbox GL,True,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,https://github.com/mapbox/mapboxgl-jupyter,,widgets,23,mapboxgl,mapbox/mapboxgl-jupyter,,,https://github.com/mapbox/mapboxgl-jupyter,2017-08-08 15:10:51.000000,2021-10-11 17:16:45.000000,2021-04-19 05:00:36.000000,122.0,31.0,67.0,590.0,221.0,2019-06-03 21:24:10.000000,0.10.2,,9460.0,14.0,122.0,122.0,21.0,https://pypi.org/project/mapboxgl,9460.0,,,,,,,,2.0,MIT,,,,,,,,,,,
44,nbval,True,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,nbval,computationalmodelling/nbval,conda-forge/nbval,,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2021-11-09 20:10:28.000000,2021-01-27 08:24:41.000000,40.0,35.0,60.0,365.0,435.0,,,,82216.0,8.0,1215.0,1215.0,27.0,https://pypi.org/project/nbval,79109.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,170892.0,,,,,2.0,,,,,,,,,,,,
