,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
10,ipyvolume,True,3d plotting for Python in the Jupyter notebook based on IPython..,https://github.com/widgetti/ipyvolume,,widgets,28,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/widgetti/ipyvolume,MIT,2016-12-21 15:30:13.000,2022-08-19 08:14:48.000000,2022-07-26 13:21:25,225.0,171.0,128.0,1796.0,2018-06-11 13:56:17,0.4.5,,72571.0,16.0,877.0,877.0,41.0,https://pypi.org/project/ipyvolume,64695.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451,387178.0,1.0,widgetti/ipyvolume,974.0,ipyvolume,https://www.npmjs.com/package/ipyvolume,2183.0,,,,,,,,,,,,
11,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2022-10-19 17:39:16.000000,2022-08-22 09:53:38,189.0,118.0,144.0,1355.0,2022-08-22 09:55:02,0.9.2,,318385.0,27.0,4206.0,4206.0,28.0,https://pypi.org/project/ipympl,291643.0,,,,1.0,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,26742.0,,,,,,,,,,,,
12,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,27,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,,2015-04-09 06:58:03.000,2022-10-20 12:22:02.000000,2022-10-20 12:22:02,3822.0,1987.0,2488.0,10428.0,2022-10-13 14:02:38,6.5.1,9290.0,10836212.0,43.0,11.0,11.0,618.0,https://pypi.org/project/notebook,10491611.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2473327.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-10-17 06:57:44.268242,948.0,27776191.0,,,,,,,
13,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,27,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2022-10-13 10:40:15.000000,2022-07-29 10:20:53,348.0,75.0,466.0,5619.0,2022-07-29 10:56:48,1.14.1,,409809.0,100.0,3475.0,3475.0,72.0,https://pypi.org/project/jupytext,393830.0,https://anaconda.org/conda-forge/jupytext,2022-07-03 18:12:05.254,416044.0,1.0,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,7127.0,,,,,,,,,,,,
14,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-10-19 23:44:24.000000,2022-10-19 23:44:24,297.0,45.0,434.0,3678.0,2022-09-09 14:55:58,2.8.1,,121134.0,113.0,516.0,516.0,29.0,https://pypi.org/project/dtale,116063.0,https://anaconda.org/conda-forge/dtale,2022-09-09 15:21:16.023,162272.0,2.0,,626.0,,,,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,27,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-10-10 15:56:59.000000,2022-09-29 15:04:10,440.0,211.0,361.0,3364.0,2022-09-02 15:03:28,0.12.36,,114593.0,58.0,35.0,35.0,59.0,https://pypi.org/project/bqplot,94666.0,https://anaconda.org/conda-forge/bqplot,2022-09-02 17:23:26.370,1054220.0,2.0,,3545.0,bqplot,https://www.npmjs.com/package/bqplot,6236.0,,,,,,,,,,,,
16,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-10-18 22:34:20.000000,2022-10-18 22:34:20,363.0,111.0,242.0,4947.0,,,,807441.0,17.0,2498.0,2498.0,108.0,https://pypi.org/project/papermill,800963.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,323945.0,2.0,,,,,,,,,,,,,,,,,
17,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2022-10-17 11:28:56.000000,2022-10-11 07:18:31,431.0,251.0,371.0,4381.0,2022-07-18 20:31:49,0.3.6,359.0,79452.0,59.0,7508.0,7508.0,62.0,https://pypi.org/project/voila,73377.0,https://anaconda.org/conda-forge/voila,2022-07-18 23:28:25.603,219383.0,2.0,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,1478.0,,,,,,,,,,,,
18,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,26,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-07-28 00:45:28.000000,2022-06-12 04:14:20,252.0,100.0,40.0,1576.0,,,,102699.0,3.0,3512.0,3512.0,53.0,https://pypi.org/project/ipython-sql,100294.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,178004.0,1.0,,285.0,,,,,,,,,,,,,,,
19,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,26,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2022-09-28 08:21:26.000000,2022-05-02 22:12:52,386.0,129.0,276.0,1171.0,2022-05-02 22:17:21,0.20.0,,36430.0,17.0,252.0,252.0,57.0,https://pypi.org/project/sparkmagic,35530.0,https://anaconda.org/conda-forge/sparkmagic,2022-05-09 18:27:42.421,55830.0,1.0,,1212.0,,,,,,,,,,,,,,,
