,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,license,npm_url,npm_monthly_downloads,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
222,jupyter-fs,True,A filesystem-like contents manager for multiple backends in Jupyter.,https://github.com/jpmorganchase/jupyter-fs,,lab-extensions,12,jpmorganchase/jupyter-fs,jupyter-fs,,https://github.com/jpmorganchase/jupyter-fs,2019-09-24 17:44:10.000000,2021-11-29 04:50:28.000000,2021-11-29 04:50:28.000000,22.0,13.0,36.0,105.0,,,,,427.0,,,,8.0,https://pypi.org/project/jupyter-fs,427.0,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
223,JupyterLab Commenting,True,Commenting and annotation for JupyterLab.,https://github.com/jupyterlab/jupyterlab-commenting,,lab-extensions,12,jupyterlab/jupyterlab-commenting,,,https://github.com/jupyterlab/jupyterlab-commenting,2019-01-03 21:55:33.000000,2021-02-10 20:06:33.000000,2020-05-01 11:42:37.000000,22.0,24.0,10.0,86.0,332.0,,,,142.0,,,,10.0,,,,,,3.0,,,,,,,@jupyterlab/commenting-extension,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/commenting-extension,142.0,,,,,,,
224,jupyterlab-sparkmonitor,True,JupyterLab extension that enables monitoring launched..,https://github.com/itsjafer/jupyterlab-sparkmonitor,,lab-extensions,12,itsjafer/jupyterlab-sparkmonitor,jupyterlab-sparkmonitor,,https://github.com/itsjafer/jupyterlab-sparkmonitor,2020-03-12 20:59:01.000000,2021-11-15 17:51:03.000000,2021-08-04 16:49:43.000000,15.0,7.0,8.0,68.0,269.0,,,,97.0,,,,9.0,https://pypi.org/project/jupyterlab-sparkmonitor,,,,,3.0,itsjafer/sparkmonitor,https://hub.docker.com/r/itsjafer/sparkmonitor,2021-06-02 17:02:44.488613,,240.0,,jupyterlab_sparkmonitor,Apache-2.0,https://www.npmjs.com/package/jupyterlab_sparkmonitor,86.0,,,,,,,
225,nbcelltests,True,Cell-by-cell testing for production Jupyter notebooks in..,https://github.com/jpmorganchase/nbcelltests,,lab-extensions,12,jpmorganchase/nbcelltests,nbcelltests,,https://github.com/jpmorganchase/nbcelltests,2018-08-23 23:51:41.000000,2021-12-12 19:03:27.000000,2021-12-12 19:03:26.000000,16.0,30.0,83.0,59.0,,2020-10-05 14:23:28.000000,0.2.3,,130.0,11.0,,,7.0,https://pypi.org/project/nbcelltests,42.0,,,,3.0,,,,,,,jupyterlab_celltests,Apache-2.0,https://www.npmjs.com/package/jupyterlab_celltests,88.0,,,,,,,
226,JupyterLab Email,True,A jupyterlab extension to email notebooks directly from..,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,12,timkpaine/jupyterlab_email,jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,2018-08-07 14:14:40.000000,2021-11-29 04:37:03.000000,2021-11-29 04:37:02.000000,2.0,6.0,30.0,50.0,,2020-06-25 16:29:14.000000,0.2.3,,224.0,12.0,,,,https://pypi.org/project/jupyterlab_email,71.0,,,,3.0,,,,,,,jupyterlab_email,Apache-2.0,https://www.npmjs.com/package/jupyterlab_email,153.0,,,,,,,
227,JupyterLab Flake8,True,A jupyterlab extension to email notebooks directly from..,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,12,timkpaine/jupyterlab_email,,,https://github.com/timkpaine/jupyterlab_email,2018-08-07 14:14:40.000000,2021-11-29 04:37:03.000000,2021-11-29 04:37:02.000000,2.0,6.0,30.0,50.0,,2020-06-25 16:29:14.000000,0.2.3,,271.0,12.0,,,,,,,,,3.0,,,,,,,jupyterlab-flake8,Apache-2.0,https://www.npmjs.com/package/jupyterlab-flake8,271.0,,,,,,,
228,Remote User Auth,True,REMOTE_USER authenticator for Jupyterhub.,https://github.com/cwaldbieser/jhub_remote_user_authenticator,,hub-auth,12,cwaldbieser/jhub_remote_user_authenticator,jhub_remote_user_authenticator,,https://github.com/cwaldbieser/jhub_remote_user_authenticator,2015-11-04 03:17:18.000000,2020-04-02 12:59:46.000000,2019-04-16 20:10:44.000000,26.0,7.0,9.0,32.0,27.0,,,,3195.0,,,,5.0,https://pypi.org/project/jhub_remote_user_authenticator,3195.0,,,,3.0,,,,,,,,GPL-3.0,,,,,,,,,
229,SAML Authenticator,True,jupyterhub-samlauthenticator.,https://github.com/HewlettPackard/jupyterhub-samlauthenticator,,hub-auth,12,HewlettPackard/jupyterhub-samlauthenticator,jupyterhub-samlauthenticator,,https://github.com/HewlettPackard/jupyterhub-samlauthenticator,2019-04-17 21:34:09.000000,2021-08-25 23:29:03.000000,2021-08-25 15:02:59.000000,16.0,14.0,14.0,30.0,112.0,2020-07-13 15:56:30.000000,samlauthenticator-0.0.9,13.0,366.0,3.0,,,6.0,https://pypi.org/project/jupyterhub-samlauthenticator,366.0,,,,3.0,,,,,,,,MIT,,,,,,,,,
230,pick,True,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,12,nteract/pick,pick,,https://github.com/nteract/pick,2020-04-08 23:47:09.000000,2021-07-23 05:39:29.000000,2020-11-04 01:10:24.000000,7.0,4.0,5.0,28.0,,,,,37347.0,,,,5.0,https://pypi.org/project/pick,37347.0,,,,3.0,,,,,,,,BSD-3-Clause,,,,,,,,,
231,jupyter-nbrequirements,True,Dependency management and optimization in Jupyter..,https://github.com/thoth-station/jupyter-nbrequirements,,jupyter-extensions,12,thoth-station/jupyter-nbrequirements,,,https://github.com/thoth-station/jupyter-nbrequirements,2019-06-25 06:48:06.000000,2021-12-13 20:43:20.000000,2021-10-21 06:25:29.000000,4.0,2.0,30.0,14.0,348.0,2019-12-09 18:41:20.000000,0.5.0,,,3.0,,,12.0,,,,,,3.0,,,,,,,,MIT,,,,,,,,,
232,jupyter2slides,True,Cloud Native Presentation Slides with Jupyter Notebook +..,https://github.com/datitran/jupyter2slides,,notebook-tools,11,datitran/jupyter2slides,,,https://github.com/datitran/jupyter2slides,2016-07-26 12:38:17.000000,2019-09-03 14:54:44.000000,2018-12-28 18:34:22.000000,164.0,11.0,4.0,769.0,11.0,,,,,,,,,,,,,,3.0,,,,,,,,MIT,,,,,,,,,
233,ICSharp,True,C# kernel for Jupyter.,https://github.com/zabirauf/icsharp,,kernels,11,zabirauf/icsharp,,,https://github.com/zabirauf/icsharp,2014-09-22 07:57:50.000000,2018-09-23 04:19:46.000000,2018-09-23 04:19:45.000000,59.0,33.0,13.0,261.0,45.0,,,,,,,,10.0,,,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
234,jupyter-flex,True,Build dashboards using Jupyter Notebooks.,https://github.com/danielfrg/jupyter-flex,,notebook-sharing,11,danielfrg/jupyter-flex,,,https://github.com/danielfrg/jupyter-flex,2019-12-13 20:19:40.000000,2021-11-30 00:23:28.000000,2021-11-30 00:23:22.000000,39.0,6.0,41.0,228.0,,,,,,,1.0,1.0,3.0,,,,,,3.0,,,,,,,,Apache-2.0,,,,,,,,,
