,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
10,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-03-08 13:48:08.000000,2024-03-01 15:29:40,344.0,235.0,348.0,1448.0,2024-01-23 17:51:37,0.18.2,,177577.0,70.0,7769.0,7769.0,88.0,https://pypi.org/project/ipyleaflet,141698.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1107652.0,1.0,,,,,,,,1173.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,11800.0,,,,,,
11,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-03-21 12:34:16.000000,2024-03-21 09:59:08,441.0,959.0,2302.0,3985.0,2024-01-24 17:32:42,1.3.8,,754466.0,64.0,10541.0,10541.0,166.0,https://pypi.org/project/panel,725351.0,https://anaconda.org/conda-forge/panel,2024-01-27 09:14:49.749,1310206.0,2.0,,,,,,,,,,,,,,,,,
12,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-03-16 23:15:26.000000,2024-01-13 17:13:08,376.0,119.0,535.0,6378.0,2024-01-13 17:14:35,1.16.1,,648233.0,100.0,6990.0,6990.0,85.0,https://pypi.org/project/jupytext,625258.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,760939.0,1.0,,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,6066.0,,,,,,
13,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2024-03-02 18:00:17.000000,2024-03-02 18:00:17,375.0,61.0,2109.0,2539.0,2024-01-10 20:52:22,8.3.0,103.0,2743.0,79.0,508.0,508.0,239.0,https://pypi.org/project/nikola,2743.0,,,,1.0,,,,,,,,10409.0,,,,,,,,,
14,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,29,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2024-03-13 08:16:55.142000,2024-03-13 00:25:11,51.0,34.0,70.0,134.0,2024-03-13 00:25:28,0.10.0,430.0,20149139.0,33.0,154262.0,154262.0,38.0,https://pypi.org/project/nbclient,19843922.0,https://anaconda.org/conda-forge/nbclient,2024-03-13 08:16:55.142,13734204.0,1.0,,,,,,,,,,,,,,,,,
15,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,28,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-03-16 23:51:50.000000,2024-03-06 14:52:20,372.0,59.0,508.0,4501.0,2024-03-07 14:03:25,3.11.0,,63892.0,142.0,1058.0,1058.0,30.0,https://pypi.org/project/dtale,58100.0,https://anaconda.org/conda-forge/dtale,2024-03-07 14:28:38.963,266475.0,1.0,,,,,,,,787.0,,,,,,,,,
16,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2024-03-11 16:24:21.000000,2023-10-04 07:40:23,449.0,225.0,368.0,3544.0,2024-02-27 15:38:38,0.12.43,,155816.0,64.0,55.0,55.0,64.0,https://pypi.org/project/bqplot,124761.0,https://anaconda.org/conda-forge/bqplot,2024-02-19 16:46:43.025,1264737.0,1.0,,,,,,,,3656.0,bqplot,https://www.npmjs.com/package/bqplot,3561.0,,,,,,
17,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2024-03-04 18:03:31.000000,2023-04-21 20:49:35,273.0,108.0,43.0,1754.0,,,,195238.0,3.0,6122.0,6122.0,55.0,https://pypi.org/project/ipython-sql,192465.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,252391.0,1.0,,,,,,,,292.0,,,,,,,,,
18,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2024-03-13 18:59:04.000000,2024-02-08 22:25:17,404.0,135.0,257.0,5588.0,,,,1501662.0,19.0,5771.0,5771.0,117.0,https://pypi.org/project/papermill,1489213.0,https://anaconda.org/conda-forge/papermill,2024-02-29 00:34:38.538,560211.0,2.0,,,,,,,,,,,,,,,,,
19,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2024-03-15 14:11:55.000000,2024-03-15 14:10:06,220.0,136.0,160.0,1509.0,2023-02-15 19:21:40,0.9.3,,304140.0,28.0,10623.0,10623.0,33.0,https://pypi.org/project/ipympl,294918.0,,,,2.0,,,,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,9222.0,,,,,,
