,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
94,JupyterLab Latex,True,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,19,jupyterlab/jupyterlab-latex,jupyterlab_latex,,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2023-02-03 21:51:39.000000,2022-11-18 19:34:59,60.0,30.0,55.0,543.0,2021-09-15 15:34:35,3.1.0,,4137.0,1.0,5.0,5.0,22.0,https://pypi.org/project/jupyterlab_latex,2945.0,,,,2.0,,,438.0,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,1192.0,,,,,,,,,,,
95,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,19,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,,2015-09-09 13:39:18.000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25,64.0,19.0,41.0,524.0,2018-01-15 18:11:51,0.9.0,,23882.0,8.0,306.0,306.0,3.0,https://pypi.org/project/pivottablejs,23882.0,,,,3.0,,,32.0,,,,,,,,,,,,,,
96,ipysheet,True,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,19,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2023-02-03 22:41:22.000000,2022-11-28 09:20:26,63.0,61.0,61.0,515.0,,,,47698.0,15.0,6.0,6.0,13.0,https://pypi.org/project/ipysheet,44569.0,https://anaconda.org/conda-forge/ipysheet,2022-11-28 14:56:47.302,71660.0,3.0,,,307.0,ipysheet,https://www.npmjs.com/package/ipysheet,1667.0,,,,,,,,,,,
97,Kernel Gateway,True,Jupyter Kernel Gateway.,https://github.com/jupyter-server/kernel_gateway,,kernels,19,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter-server/kernel_gateway,,2015-09-21 15:34:11.000,2023-02-07 20:48:22.000000,2023-02-06 19:35:09,118.0,16.0,166.0,423.0,2023-02-06 19:49:08,2.5.2,109.0,40692.0,10.0,,,44.0,https://pypi.org/project/jupyter-kernel-gateway,40690.0,,,,2.0,,jupyter-server/kernel_gateway,565.0,,,,,,,,,,,,,,
98,JupyterLab GitHub,True,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,19,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2023-02-04 01:02:55.000000,2022-09-05 14:24:06,89.0,21.0,37.0,345.0,2021-11-27 17:02:34,3.0.1,,7789.0,6.0,5.0,5.0,16.0,https://pypi.org/project/jupyterlab-github,1330.0,,,,1.0,,,238.0,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,6459.0,,,,,,,,,,,
99,JupyterLab Templates,True,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,19,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-02-22 23:06:53.000000,2023-02-22 23:06:53,58.0,6.0,77.0,323.0,2022-11-16 20:29:42,0.3.2,,11829.0,14.0,7.0,7.0,17.0,https://pypi.org/project/jupyterlab_templates,7547.0,,,,1.0,,finos/jupyterlab_templates,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,4282.0,,,,,,,,,,,
100,dask-labextension,True,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,19,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,BSD-3-Clause,2016-09-26 19:01:37.000,2023-02-19 18:15:32.337000,2023-02-19 00:28:03,54.0,42.0,96.0,284.0,2023-02-19 00:41:36,6.1.0,,28250.0,19.0,2.0,2.0,23.0,https://pypi.org/project/dask-labextension,7653.0,https://anaconda.org/conda-forge/dask-labextension,2023-02-19 18:15:32.337,836081.0,1.0,,,,dask-labextension,https://www.npmjs.com/package/dask-labextension,1596.0,,,,,,,,,,,
101,jupyter-server-proxy,True,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,19,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2023-02-04 22:13:18.000000,2023-02-04 22:13:10,122.0,59.0,109.0,273.0,2018-12-10 14:39:58,0.8.8,,162395.0,16.0,2.0,2.0,66.0,https://pypi.org/project/jupyter-server-proxy,136809.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2022-09-08 09:19:11.744,1228159.0,2.0,,,,,,,,,,,,,,,,,
102,JupyterLab SideCar,True,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,19,jupyter-widgets/jupyterlab-sidecar,sidecar,,https://github.com/jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,2018-03-26 09:23:58.000,2023-02-03 16:13:40.000000,2022-12-10 17:49:24,39.0,21.0,11.0,210.0,2022-12-10 17:57:31,0.5.2,,2558.0,2.0,6.0,6.0,14.0,https://pypi.org/project/sidecar,2243.0,,,,1.0,,,81.0,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,315.0,,,,,,,,,,,
103,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,19,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2023-02-03 18:17:08.000000,2022-07-20 12:02:54,24.0,7.0,16.0,174.0,,,,788.0,,1137.0,1137.0,7.0,,,,,,1.0,,,113.0,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,788.0,,,,,,,,,,,
104,JupyterLab Spellchecker,True,Spellchecker for JupyterLab notebook markdown cells..,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,19,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,BSD-3-Clause,2018-04-02 07:47:30.000,2023-02-08 19:00:19.000000,2023-02-08 18:57:02,17.0,15.0,35.0,169.0,2023-02-08 19:00:19,0.7.3,,2917.0,8.0,3.0,3.0,6.0,,,,,,1.0,,jupyterlab-contrib/spellchecker,180.0,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,2917.0,,,,,,,,,,,
105,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,19,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2023-02-07 08:14:03.000000,2023-02-07 08:14:03,58.0,26.0,70.0,59.0,2021-10-19 17:24:48,1.0.5,,6702.0,3.0,49.0,49.0,21.0,https://pypi.org/project/jupyterhub-nativeauthenticator,6702.0,,,,2.0,,,,,,,,,,,,,,,,,
106,ipyvue,True,Jupyter widgets base for Vue libraries.,https://github.com/widgetti/ipyvue,,widgets,19,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/widgetti/ipyvue,MIT,2019-08-11 10:10:05.000,2023-02-23 13:03:26.000000,2023-02-23 12:37:17,12.0,3.0,5.0,48.0,2021-11-19 19:10:31,1.7.0,,131814.0,19.0,22.0,22.0,3.0,https://pypi.org/project/ipyvue,130035.0,https://anaconda.org/conda-forge/ipyvue,2022-09-26 08:51:09.246,74734.0,3.0,,widgetti/ipyvue,104.0,,,,,,,,,,,,,,
107,xeus-cling,True,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,18,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2023-02-03 14:58:54.000000,2023-02-03 14:58:32,264.0,140.0,120.0,2519.0,,,,3687.0,17.0,,,24.0,,,https://anaconda.org/conda-forge/xeus-cling,2023-01-31 13:36:50.924,184352.0,2.0,,,,,,,,,,,,,,,,,
