,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
95,Darcula Theme,True,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,19,telamonian/theme-darcula,,,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2022-07-20 12:04:32.000000,2022-07-20 12:02:54,22.0,7.0,16.0,150.0,113.0,,,,1618.0,,472.0,472.0,7.0,,,,,,1.0,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,1618.0,,,,,,,,,,,,,
96,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,19,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,BSD-3-Clause,2017-03-04 19:38:49.000,2022-08-09 13:23:10.000000,2022-08-09 13:23:06,43.0,10.0,28.0,59.0,,2022-06-20 14:32:13,0.12.2,25.0,344748.0,31.0,,,29.0,https://pypi.org/project/jupyter-packaging,334001.0,https://anaconda.org/conda-forge/jupyter-packaging,2022-07-14 17:02:08.510,290152.0,3.0,,,,,,,,,,,,,,,,
97,ipydagred3,True,ipywidgets library for drawing directed acyclic graphs in..,https://github.com/timkpaine/ipydagred3,,widgets,19,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2022-07-21 13:31:33.000000,2022-07-21 13:31:32,5.0,3.0,16.0,38.0,,2022-05-06 22:45:47,0.3.6,,76259.0,15.0,11.0,11.0,3.0,https://pypi.org/project/ipydagred3,1172.0,,,,3.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,75087.0,,,,,,,,,,,,,
98,ML Workspace,True,All-in-one web-based IDE specialized for machine learning and..,https://github.com/ml-tooling/ml-workspace,,notebook-environments,18,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2022-02-03 21:26:52.000000,2021-11-22 20:42:15,332.0,7.0,79.0,2695.0,,2021-07-13 22:12:59,0.13.2,,13012.0,4.0,,,11.0,,,,,,3.0,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,24.0,507469.0,,,,,,,
99,IHaskell,True,A Haskell kernel for IPython.,https://github.com/IHaskell/IHaskell,,kernels,18,gibiansky/IHaskell,,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2022-08-09 22:49:51.000000,2022-07-22 12:52:06,241.0,32.0,708.0,2375.0,2129.0,2015-03-26 05:06:25,0.6,,18.0,1.0,4.0,4.0,110.0,,,,,,2.0,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,18.0,IHaskell/IHaskell,,,,,,,,,,,,
100,ipyparallel,True,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,18,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2022-08-08 23:07:25.000000,2022-08-02 11:22:21,869.0,54.0,278.0,2245.0,,,,,66095.0,24.0,,,111.0,https://pypi.org/project/ipyparallel,57464.0,https://anaconda.org/conda-forge/ipyparallel,2022-06-21 14:24:53.709,656017.0,3.0,,,,,,,,,,,,,,,,
101,BinderHub,True,"Run your code in the cloud, with technology so advanced, it feels..",https://github.com/jupyterhub/binderhub,,notebook-sharing,18,jupyterhub/binderhub,,,https://github.com/jupyterhub/binderhub,BSD-3-Clause,2017-04-26 00:28:26.000,2022-08-09 06:08:47.000000,2022-08-09 06:08:47,323.0,181.0,449.0,2168.0,2721.0,,,,,1.0,6.0,6.0,84.0,,,,,,3.0,,,,,,,,,,,,,binderhub,,,
102,notedown,True,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,18,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,91.0,39.0,29.0,829.0,264.0,,,,4909.0,1.0,184.0,184.0,7.0,https://pypi.org/project/notedown,4232.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,33890.0,3.0,,,,,,,,,,,,,,,,
103,gmaps,True,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,18,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,BSD-3-Clause,2014-12-01 09:12:06.000,2022-04-15 13:31:22.000000,2019-07-22 06:22:45,145.0,68.0,136.0,744.0,1380.0,2016-01-02 19:06:03,0.2,,14743.0,20.0,1.0,1.0,16.0,https://pypi.org/project/gmaps,8680.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940,269430.0,3.0,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,1787.0,,,,,,,,,,,,,
104,IRuby,True,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,SciRuby/iruby,,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2022-07-05 23:32:06.000000,2022-07-05 23:32:06,18.0,45.0,141.0,721.0,715.0,2021-08-17 16:20:34,0.7.4,15.0,18.0,10.0,162.0,162.0,44.0,,,,,,2.0,,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2022-06-07 05:42:07.589827,3.0,1657.0,,,,,iruby,,
105,Code Formatter,True,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,18,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,MIT,2018-08-12 20:50:17.000,2022-08-10 21:16:56.000000,2022-08-10 21:11:05,47.0,21.0,137.0,593.0,427.0,,,,37031.0,,,,37.0,https://pypi.org/project/jupyterlab_code_formatter,32029.0,,,,2.0,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,5002.0,,,,,,,,,,,,,
