,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,go_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
79,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,19,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2022-09-26 23:57:51.000000,2022-08-22 11:27:39,499.0,165.0,404.0,2046.0,,,,22768.0,,8.0,8.0,91.0,,,,,,3.0,,,,,,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2022-08-22 11:29:43.791515,29.0,2777715.0,,,,,,,
80,IJavascript,True,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,19,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,,2015-02-02 15:46:34.000,2022-01-24 13:30:29.000000,2022-01-24 13:30:28,148.0,53.0,178.0,1915.0,2021-11-15 23:43:33,5.2.1,,2180.0,33.0,64.0,64.0,15.0,,,,,,2.0,,331.0,ijavascript,https://www.npmjs.com/package/ijavascript,2180.0,,,,,,,,,,,,
81,almond,True,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,19,almond-sh/almond,,,https://github.com/almond-sh/almond,BSD-3-Clause,2015-03-10 22:48:50.000,2022-10-05 08:48:55.000000,2022-09-20 12:25:17,219.0,98.0,198.0,1459.0,2022-08-15 19:45:01,0.13.1,1321.0,189.0,39.0,,,36.0,,,,,,2.0,,,,,,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2022-08-16 14:22:00.573334,6.0,14858.0,,,,,,,
82,Variable Inspector,True,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,19,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,BSD-3-Clause,2018-06-13 18:16:02.000,2022-08-01 14:06:03.000000,2022-08-01 14:06:03,83.0,44.0,116.0,939.0,2021-04-10 11:39:23,3.0.7,,5613.0,6.0,3.0,3.0,18.0,,,,,,1.0,,166.0,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,5613.0,,,,,,,,,,,,
83,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,19,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2022-09-10 13:04:03.000000,2022-07-09 09:08:49,109.0,50.0,32.0,910.0,2022-07-17 11:55:06,0.5.0,,356846.0,2.0,,,20.0,https://pypi.org/project/jupyter_nbextensions_configurator,356846.0,,,,2.0,,502.0,,,,,,,,,,,,,,,
84,What-If Tool,True,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2022-09-08 11:38:08.000000,2022-01-05 20:19:46,142.0,59.0,54.0,752.0,2021-10-12 17:36:36,1.8.1,,14832.0,3.0,,,20.0,https://pypi.org/project/witwidget,10111.0,,,,3.0,,328.0,wit-widget,https://www.npmjs.com/package/wit-widget,4721.0,,,,,,,,,,,,
85,Apache Toree,True,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,19,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,Apache-2.0,2016-01-07 08:00:06.000,2022-03-15 19:55:24.000000,2022-03-15 19:55:24,215.0,,,702.0,,,,11623.0,,,,104.0,https://pypi.org/project/toree,11623.0,,,,2.0,,1150.0,,,,,,,,,,,,,,,
86,ipysheet,True,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,19,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2022-09-29 14:01:03.000000,2022-09-09 06:56:09,63.0,61.0,58.0,505.0,,,,58252.0,13.0,3.0,3.0,11.0,https://pypi.org/project/ipysheet,53199.0,https://anaconda.org/conda-forge/ipysheet,2021-08-11 12:55:17.098,58873.0,3.0,,297.0,ipysheet,https://www.npmjs.com/package/ipysheet,3745.0,,,,,,,,,,,,
87,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,19,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,,2015-09-09 13:39:18.000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25,61.0,18.0,41.0,472.0,2018-01-15 18:11:51,0.9.0,,22053.0,8.0,263.0,263.0,3.0,https://pypi.org/project/pivottablejs,22053.0,,,,3.0,,32.0,,,,,,,,,,,,,,,
88,Octave Kernel,True,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,19,calysto/octave_kernel,octave_kernel,,https://github.com/Calysto/octave_kernel,BSD-3-Clause,2014-07-31 01:59:06.000,2022-08-21 18:36:02.000000,2022-08-21 18:36:02,61.0,30.0,143.0,409.0,2022-03-31 08:36:27,0.34.2,50.0,9341.0,6.0,,,18.0,https://pypi.org/project/octave_kernel,9341.0,,,,2.0,,415.0,,,,,,,,,,,,,,,
