,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,npm_id,license,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
121,commuter,True,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-05-11 19:17:24.000000,2021-05-11 19:17:24.000000,58.0,47.0,39.0,372.0,622.0,,,,300.0,,3.0,3.0,27.0,,,,,,,,,,3.0,,@nteract/commuter,BSD-3-Clause,https://www.npmjs.com/package/@nteract/commuter,300.0,,,,,,,
122,tributary,True,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,17,tributary,timkpaine/tributary,conda-forge/tributary,,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000000,2021-04-21 02:18:31.000000,2021-03-23 03:29:09.000000,22.0,10.0,66.0,252.0,,2021-02-27 04:59:39.000000,0.1.5,,1000.0,12.0,14.0,14.0,6.0,https://pypi.org/project/tributary,136.0,https://anaconda.org/conda-forge/tributary,2020-10-15 18:24:08.479000,11233.0,,,,,3.0,,,Apache-2.0,,,,,,,,,
123,ThebeLab,True,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,17,,executablebooks/thebe,,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000000,2021-06-28 08:02:47.000000,2021-04-09 16:16:09.000000,47.0,59.0,59.0,221.0,533.0,2021-04-09 14:39:39.000000,0.7.1,,,2.0,,,24.0,,,,,,,,,,3.0,,,BSD-3-Clause,,,,,,,,,
124,OCaml Kernel,True,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,17,,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,2017-07-14 14:15:05.000000,2021-03-28 05:36:45.000000,2021-03-28 05:32:11.000000,24.0,3.0,63.0,189.0,314.0,2021-03-28 05:43:45.000000,2.7.4,47058.0,980.0,26.0,,,16.0,,,,,,,,,,3.0,,,MIT,,,,,,,,,
125,ML Hub,True,Multi-user development platform for machine learning teams. Simple to..,https://github.com/ml-tooling/ml-hub,,notebook-environments,17,,ml-tooling/ml-hub,,mltooling/ml-hub,https://github.com/ml-tooling/ml-hub,2019-06-26 15:05:50.000000,2020-10-19 09:31:37.000000,2020-10-02 15:10:06.000000,37.0,10.0,8.0,176.0,217.0,2020-02-03 15:59:07.000000,1.0.0,1273.0,1731.0,8.0,,,5.0,,,,,,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,41871.0,3.0,,,Apache-2.0,,,,,,,,,
126,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,,scijava/scijava-jupyter-kernel,conda-forge/scijava-jupyter-kernel,,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000000,2019-08-27 12:36:47.000000,2019-08-27 12:36:11.000000,41.0,10.0,69.0,171.0,393.0,2017-06-02 21:19:27.000000,0.5.0,66.0,1379.0,15.0,,,8.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430000,70278.0,,,,,3.0,,,Apache-2.0,,,,,,,,,
127,bookstore,True,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,17,bookstore,nteract/bookstore,,,https://github.com/nteract/bookstore,2018-10-16 18:54:00.000000,2019-12-09 16:52:17.000000,2019-12-09 16:52:07.000000,16.0,34.0,39.0,164.0,619.0,2019-12-03 17:50:40.000000,2.5.0,,1537.0,6.0,4.0,4.0,7.0,https://pypi.org/project/bookstore,1537.0,,,,,,,,3.0,,,BSD-3-Clause,,,,,,,,,
128,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,sparkmonitor,krishnan-r/sparkmonitor,,krishnanr/sparkmonitor,https://github.com/krishnan-r/sparkmonitor,2017-05-31 09:13:01.000000,2021-02-03 03:28:03.000000,2021-02-03 03:28:02.000000,46.0,15.0,7.0,155.0,214.0,2018-05-29 18:46:14.000000,0.0.9,2343.0,1335.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,1270.0,,,,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,873.0,3.0,,,Apache-2.0,,,,,,,,,
129,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,17,ipytest,chmp/ipytest,,,https://github.com/chmp/ipytest,2016-02-07 20:24:41.000000,2021-06-29 19:32:30.000000,2021-06-29 19:30:08.000000,11.0,2.0,39.0,152.0,,,,,13183.0,,102.0,102.0,3.0,https://pypi.org/project/ipytest,13183.0,,,,,,,,3.0,,,MIT,,,,,,,,,
130,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,sphinxcontrib-jupyter,QuantEcon/sphinxcontrib-jupyter,,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000000,2021-04-26 14:44:49.000000,2020-06-18 03:28:01.000000,23.0,86.0,93.0,67.0,269.0,2020-06-18 03:30:24.000000,0.5.10,,662.0,17.0,22.0,22.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,662.0,,,,,,,,3.0,,,BSD-3-Clause,,,,,,,,,
