,name,show,description,homepage,resource,category,projectrank,pypi_id,github_id,conda_id,dockerhub_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,go_id,cran_id,updated_github_id,gem_id,pypi,hex_id,bitbucket_id
153,nbzip,True,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,16,nbzip,data-8/nbzip,,,https://github.com/data-8/nbzip,2017-09-30 17:32:31.000000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25.000000,15.0,9.0,5.0,70.0,43.0,,,,1102.0,,211.0,211.0,6.0,https://pypi.org/project/nbzip,1102.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
154,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,ipyregulartable,jpmorganchase/ipyregulartable,,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000000,2021-08-02 04:58:43.000000,2021-07-16 18:41:00.000000,9.0,8.0,13.0,43.0,,,,,103410.0,5.0,8.0,8.0,4.0,https://pypi.org/project/ipyregulartable,128.0,,,,,,,,3.0,,Apache-2.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,103282.0,,,,,,,
155,Native Authenticator,True,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,16,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000000,2021-05-10 20:32:56.000000,2021-05-10 14:32:04.000000,44.0,17.0,46.0,41.0,269.0,,,,5136.0,,28.0,28.0,16.0,https://pypi.org/project/jupyterhub-nativeauthenticator,5136.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
156,jupyter-archive,True,"A Jupyter/Jupyterlab extension to make, download and extract..",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000000,2021-08-04 06:50:30.000000,2021-08-04 06:50:27.000000,6.0,1.0,24.0,41.0,171.0,2021-05-17 08:19:41.000000,3.0.1,3251.0,840.0,16.0,,,7.0,,,https://anaconda.org/conda-forge/jupyter-archive,2021-05-17 10:06:04.086000,15267.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
157,SudoSpawner,True,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,16,sudospawner,jupyterhub/sudospawner,,,https://github.com/jupyterhub/sudospawner,2014-11-24 23:21:36.000000,2021-07-25 03:36:09.000000,2021-04-15 12:32:23.000000,32.0,15.0,19.0,37.0,112.0,,,,1233.0,,33.0,33.0,14.0,https://pypi.org/project/sudospawner,1233.0,,,,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
158,First Use Authenticator,True,JupyterHub Authenticator that lets users set..,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,16,jupyterhub-firstuseauthenticator,jupyterhub/firstuseauthenticator,,,https://github.com/jupyterhub/firstuseauthenticator,2016-10-25 03:09:14.000000,2020-10-28 21:57:40.000000,2020-10-28 21:57:33.000000,19.0,4.0,14.0,35.0,73.0,2019-01-24 17:18:45.000000,0.12,,4666.0,2.0,49.0,49.0,11.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,4666.0,,,,,,,,2.0,,BSD-3-Clause,,,,,,,,,,
159,ipyscales,True,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,2.0,4.0,12.0,172.0,,,,1387.0,7.0,46.0,46.0,4.0,https://pypi.org/project/ipyscales,92.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,49217.0,,,,,3.0,,BSD-3-Clause,,,,,,,,,,
160,geonotebook,True,A Jupyter notebook extension for geospatial visualization and..,https://github.com/OpenGeoscience/geonotebook,,widgets,15,,OpenGeoscience/geonotebook,,geonotebook/geonotebook,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00.000000,136.0,37.0,46.0,1026.0,647.0,,,,2151.0,,,,9.0,,,,,,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,6.0,131255.0,3.0,,Apache-2.0,,,,,,,,,,
161,Wolfram Kernel,True,Wolfram Language kernel for Jupyter notebooks.,https://github.com/WolframResearch/WolframLanguageForJupyter,,kernels,15,,WolframResearch/WolframLanguageForJupyter,,,https://github.com/WolframResearch/WolframLanguageForJupyter,2019-01-18 19:37:06.000000,2021-07-15 22:07:42.000000,2020-12-15 17:18:31.000000,73.0,18.0,61.0,589.0,138.0,,,3988.0,153.0,2.0,,,6.0,,,,,,,,,,3.0,,MIT,,,,,,,,,,
162,Lantern,True,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,15,pylantern,timkpaine/lantern,,,https://github.com/timkpaine/lantern,2017-07-15 03:49:10.000000,2021-02-27 21:52:34.000000,2021-02-27 21:52:33.000000,19.0,10.0,188.0,296.0,495.0,2020-02-02 22:32:28.000000,0.1.6,,136.0,26.0,14.0,14.0,2.0,https://pypi.org/project/pylantern,136.0,,,,,,,,3.0,,Apache-2.0,,,,,,,,,,
