,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,commit_count,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
121,gator,True,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,18,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,BSD-3-Clause,2018-08-02 05:15:23.000,2023-01-08 15:43:25.000000,2023-01-08 15:43:24,24.0,13.0,41.0,236.0,2022-07-25 13:09:54,npm@3.1.0,2.0,1073.0,29.0,4.0,4.0,25.0,,,https://anaconda.org/conda-forge/mamba_gator,2022-07-26 15:26:35.721,26945.0,3.0,,618.0,,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,111.0,,,,,,,,,,,
122,Spylon Kernel,True,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57,31.0,19.0,20.0,172.0,2017-03-05 04:26:44,0.2.0,,5655.0,8.0,107.0,107.0,6.0,https://pypi.org/project/spylon-kernel,4131.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447,111320.0,2.0,,188.0,vericast/spylon-kernel,,,,,,,,,,,,,,
123,ipytree,True,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,18,QuantStack/ipytree,ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,MIT,2018-09-15 13:17:27.000,2023-02-03 17:28:06.000000,2022-11-23 09:34:00,26.0,19.0,17.0,103.0,2022-08-24 12:33:17,0.2.2,,76476.0,8.0,2.0,2.0,9.0,https://pypi.org/project/ipytree,75144.0,https://anaconda.org/conda-forge/ipytree,2022-08-23 16:41:28.248,63950.0,3.0,,111.0,,,,,,,,,,,,,,,
124,jupyter-packaging,True,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,18,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,BSD-3-Clause,2017-03-04 19:38:49.000,2023-03-07 16:59:03.000000,2023-03-07 16:59:02,45.0,10.0,30.0,60.0,2022-08-25 15:31:47,0.12.3,50.0,412373.0,32.0,,,30.0,https://pypi.org/project/jupyter-packaging,399462.0,https://anaconda.org/conda-forge/jupyter-packaging,2022-08-25 23:51:15.963,438915.0,3.0,,,,,,,,,,,,,,,,,
125,IHaskell,True,A Haskell kernel for IPython.,https://github.com/IHaskell/IHaskell,,kernels,17,gibiansky/IHaskell,,,https://github.com/IHaskell/IHaskell,MIT,2013-08-26 07:16:09.000,2023-03-03 11:53:17.000000,2023-03-03 11:53:17,247.0,47.0,718.0,2450.0,2015-03-26 05:06:25,0.6,,10.0,1.0,,,111.0,,,,,,2.0,,2157.0,IHaskell/IHaskell,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,10.0,,,,,,,,,,,
126,JupyterLab Vim,True,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,17,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,MIT,2017-12-02 21:16:38.000,2023-01-04 04:33:48.000000,2019-07-16 04:37:36,73.0,58.0,42.0,943.0,2019-07-16 04:33:54,0.11.0,,363.0,14.0,5.0,5.0,8.0,,,,,,2.0,,60.0,,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,363.0,,,,,,,,,,,
127,IJava,True,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,17,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2022-05-25 03:24:04.000000,2019-12-08 22:22:20,172.0,72.0,57.0,905.0,2019-05-06 03:28:50,1.3.0,115458.0,2025.0,5.0,,,4.0,,,,,,2.0,,90.0,,,,,,,,,,,,,,,
128,Code Formatter,True,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,17,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,MIT,2018-08-12 20:50:17.000,2022-08-13 00:57:17.000000,2022-08-11 18:59:13,48.0,32.0,138.0,663.0,,,,47662.0,,2.0,2.0,37.0,https://pypi.org/project/jupyterlab_code_formatter,45003.0,,,,2.0,,428.0,,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2659.0,,,,,,,,,,,
129,Bash Kernel,True,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,17,takluyver/bash_kernel,bash_kernel,,https://github.com/takluyver/bash_kernel,BSD-3-Clause,2014-06-27 00:27:25.000,2022-12-23 18:21:53.000000,2022-12-18 09:16:32,112.0,35.0,63.0,626.0,2022-12-17 19:22:31,0.9.0,,11781.0,1.0,,,16.0,https://pypi.org/project/bash_kernel,11781.0,,,,2.0,,101.0,,,,,,,,,,,,,,,
130,JupyterLab Drawio,True,A standalone embedding of the FOSS drawio / mxgraph package..,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,17,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2023-01-07 04:35:11.000000,2021-06-29 12:29:51,65.0,41.0,25.0,556.0,,,,3579.0,,13.0,13.0,15.0,,,,,,3.0,,101.0,,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,3579.0,,,,,,,,,,,
131,Enterprise Gateway,True,"A lightweight, multi-tenant, scalable and secure gateway..",https://github.com/jupyter-server/enterprise_gateway,,kernels,17,jupyter/enterprise_gateway,jupyter_enterprise_gateway,,https://github.com/jupyter-server/enterprise_gateway,,2017-04-21 16:05:14.000,2023-03-08 15:20:01.000000,2023-03-08 15:20:01,189.0,62.0,488.0,550.0,2023-03-02 05:19:25,3.2.1,26023.0,3076.0,36.0,,,111.0,https://pypi.org/project/jupyter_enterprise_gateway,2676.0,,,,2.0,,,jupyter-server/enterprise_gateway,,,,,,,,,,,,,,
132,Octave Kernel,True,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,17,calysto/octave_kernel,octave_kernel,,https://github.com/Calysto/octave_kernel,BSD-3-Clause,2014-07-31 01:59:06.000,2022-12-18 16:07:56.000000,2022-12-18 16:07:56,63.0,30.0,149.0,423.0,2022-11-29 02:04:58,0.35.1,101.0,8225.0,8.0,,,20.0,https://pypi.org/project/octave_kernel,8224.0,,,,2.0,-3.0,,,,,,,,,,,,,,,,
133,treon,True,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,17,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-04 11:15:43.000000,2022-08-04 11:15:04,22.0,3.0,10.0,284.0,,,,2611.0,,66.0,66.0,5.0,https://pypi.org/project/treon,2611.0,,,,3.0,,66.0,,,,,,,,,,,,,,,
134,jupyterlab-classic,True,The next-gen old-school notebook UI.,https://github.com/jupyterlab/retrolab,,notebook-environments,17,jtpio/jupyterlab-classic,jupyterlab-classic,,https://github.com/jupyterlab/retrolab,BSD-3-Clause,2020-12-07 16:37:07.000,2023-02-16 13:40:19.000000,2023-02-16 13:40:18,45.0,,111.0,265.0,2022-05-04 07:37:18,0.3.21,914.0,99.0,50.0,110.0,110.0,17.0,https://pypi.org/project/jupyterlab-classic,66.0,,,,3.0,,,jupyterlab/retrolab,,,,,,,,,,,,,,
135,nbinteract,True,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,17,SamLau95/nbinteract,nbinteract,,https://github.com/SamLau95/nbinteract,BSD-3-Clause,2017-08-31 00:16:20.000,2023-01-05 09:57:44.000000,2021-04-15 20:39:36,21.0,29.0,41.0,224.0,,,,3813.0,,3.0,3.0,8.0,https://pypi.org/project/nbinteract,3813.0,,,,3.0,,590.0,,,,,,,,,,,,,,,
136,SAS Kernel,True,A Jupyter kernel for SAS. This opens up all the data manipulation..,https://github.com/sassoftware/sas_kernel,,kernels,17,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2023-01-13 14:14:25.000000,2023-01-13 14:14:25,76.0,,58.0,192.0,2022-12-01 21:51:02,2.4.13,,4850.0,15.0,,,11.0,https://pypi.org/project/sas_kernel,4850.0,,,,2.0,,,,,,,,,,,,,,,,,
137,SciJava Kernel,True,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,Apache-2.0,2017-01-31 01:16:24.000,2022-02-03 17:25:47.000000,2022-02-03 17:25:03,42.0,,80.0,174.0,2017-06-02 21:19:27,0.5.0,92.0,1258.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430,89248.0,2.0,,404.0,,,,,,,,,,,,,,,
138,Spark Monitor,True,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,krishnan-r/sparkmonitor,sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,Apache-2.0,2017-05-31 09:13:01.000,2022-05-16 18:45:37.000000,2022-05-16 18:45:37,49.0,15.0,7.0,173.0,2018-05-29 18:46:14,0.0.9,2422.0,2579.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,2531.0,,,,3.0,,215.0,,,,,krishnanr/sparkmonitor,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,940.0,,,,,,
139,igv.js widget,True,Extension for Jupyter Notebook which integrates igv.js.,https://github.com/g2nb/igv-jupyter,,widgets,17,igvteam/igv-jupyter,igv-jupyter,,https://github.com/g2nb/igv-jupyter,MIT,2016-07-21 18:44:38.000,2023-01-03 21:53:51.000000,2023-01-03 21:53:51,15.0,,41.0,152.0,2022-02-07 18:33:52,1.0.0,,528.0,9.0,12.0,12.0,5.0,https://pypi.org/project/igv-jupyter,528.0,,,,3.0,,140.0,g2nb/igv-jupyter,,,,,,,,,,,,,,
140,SystemdSpawner,True,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,17,jupyterhub/systemdspawner,jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,BSD-3-Clause,2016-09-06 07:20:44.000,2023-01-11 00:31:54.000000,2023-01-11 00:31:54,41.0,28.0,32.0,86.0,,,,2508.0,,21.0,21.0,18.0,https://pypi.org/project/jupyterhub-systemdspawner,2508.0,,,,3.0,,157.0,,,,,,,,,,,,,,,
141,ipyregulartable,True,"High performance, editable, stylable datagrids in jupyter..",https://github.com/finos/ipyregulartable,,widgets,17,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/finos/ipyregulartable,Apache-2.0,2020-06-15 21:45:08.000,2023-02-25 00:31:50.000000,2023-02-25 00:31:49,15.0,10.0,16.0,78.0,,,,68141.0,6.0,11.0,11.0,5.0,https://pypi.org/project/ipyregulartable,128.0,,,,3.0,,,finos/ipyregulartable,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,68013.0,,,,,,,,,,,
142,sphinxcontrib.jupyter,True,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,BSD-3-Clause,2017-10-12 04:04:05.000,2022-02-09 08:46:28.000000,2020-06-18 03:28:01,23.0,88.0,93.0,72.0,2020-06-18 03:30:24,0.5.10,,825.0,17.0,27.0,27.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,825.0,,,,3.0,,269.0,,,,,,,,,,,,,,,
143,Altair Viewer,True,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,17,altair-viz/altair_viewer,altair_viewer,,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-02-23 21:39:23.000000,2023-02-23 21:39:23,8.0,5.0,4.0,57.0,2021-11-06 14:18:45,0.4.0,,207059.0,3.0,,,3.0,https://pypi.org/project/altair_viewer,207059.0,,,,3.0,,119.0,,,,,,,,,,,,,,,
144,heat,True,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,16,csurfer/pyheatmagic,py-heat-magic,,https://github.com/csurfer/pyheatmagic,MIT,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,23.0,2.0,3.0,1004.0,,,,1224.0,,36.0,36.0,3.0,https://pypi.org/project/py-heat-magic,1224.0,,,,2.0,,34.0,,,,,,,,,,,,,,,
145,VSCode Jupyter,True,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,MIT,2020-09-10 23:39:14.000,2023-03-09 04:38:03.000000,2023-03-09 04:38:03,191.0,423.0,8179.0,941.0,2022-10-12 16:44:26,2022.09.120,,,32.0,,,256.0,,,,,,3.0,,,,,,,,,,,,,,,,,
146,Ansible Kernel,True,Jupyter Notebook Kernel for running Ansible Tasks and..,https://github.com/ansible/ansible-jupyter-kernel,,kernels,16,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,,2018-06-26 14:28:02.000,2022-02-12 03:05:54.538000,2022-02-11 15:18:23,55.0,16.0,29.0,517.0,,,,1646.0,2.0,10.0,10.0,10.0,https://pypi.org/project/ansible-kernel,199.0,https://anaconda.org/conda-forge/ansible-kernel,2022-02-12 03:05:54.538,12698.0,3.0,,212.0,,,,,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66459.0,,,,,,
