,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,commit_count,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
166,JupyterLab Tensorboard,True,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,MIT,2018-08-14 12:36:26.000,2022-07-21 07:29:55.000000,2022-07-18 10:51:06,33.0,18.0,10.0,298.0,,,,5591.0,,4.0,4.0,7.0,,,,,,2.0,37.0,jupyterlab_tensorboard,https://www.npmjs.com/package/jupyterlab_tensorboard,5591.0,,,,,,,,,,,,,
167,jupyterlab-execute-time,True,Execute Time Plugin for Jupyter Lab.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,15,deshaw/jupyterlab-execute-time,,,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2022-12-28 12:49:50.000000,2022-12-28 12:48:39,36.0,4.0,37.0,249.0,,,,1974.0,,2.0,2.0,12.0,,,,,,2.0,43.0,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,1974.0,,,,,,,,,,,,,
168,JupyterLab Chart Editor,True,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,15,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,,2018-01-23 18:18:38.000,2023-01-06 19:12:21.000000,2021-03-10 20:56:11,24.0,12.0,19.0,212.0,2021-03-10 20:57:44,4.14.3,,1031.0,6.0,6.0,6.0,5.0,,,,,,3.0,71.0,jupyterlab-chart-editor,https://www.npmjs.com/package/jupyterlab-chart-editor,1031.0,,,,,,,,,,,,,
169,JupyterLab Data Explorer,True,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,15,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,34.0,58.0,34.0,171.0,,,,73.0,,12.0,12.0,9.0,,,,,,2.0,426.0,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,73.0,,,,,,,,,,,,,
170,Kernel Detection,True,An Jupyter plugin to enable the automatic detection of..,https://github.com/Cadair/jupyter_environment_kernels,,kernels,15,Cadair/jupyter_environment_kernels,environment_kernels,,https://github.com/Cadair/jupyter_environment_kernels,BSD-2-Clause,2015-01-06 14:50:00.000,2022-11-23 11:42:58.000000,2022-11-23 11:42:26,17.0,6.0,23.0,145.0,2022-11-23 11:42:59,1.2.0,,3893.0,3.0,,,8.0,https://pypi.org/project/environment_kernels,3893.0,,,,3.0,83.0,,,,,,,,,,,,,,,,
171,nb_conda,True,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,15,Anaconda-Platform/nb_conda,,conda-forge/nb_conda,https://github.com/Anaconda-Platform/nb_conda,BSD-3-Clause,2015-12-09 23:12:58.000,2022-06-05 15:35:11.087000,2020-09-11 21:06:00,29.0,35.0,28.0,130.0,,,,5839.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2022-06-05 15:35:11.087,461320.0,3.0,158.0,,,,,,,,,,,,,,,,
172,ipylab,True,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,15,jtpio/ipylab,ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2023-01-09 07:43:25.000000,2023-01-09 07:43:24,9.0,14.0,19.0,129.0,2022-08-25 07:45:29,0.6.0,45.0,10038.0,12.0,2.0,2.0,6.0,https://pypi.org/project/ipylab,9599.0,https://anaconda.org/conda-forge/ipylab,2022-08-25 11:30:14.285,17084.0,2.0,,,,,,,,,,,,,,,,,
173,JupyterLab IFrame,True,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,15,timkpaine/jupyterlab_iframe,jupyterlab_iframe,,https://github.com/timkpaine/jupyterlab_iframe,Apache-2.0,2018-03-12 02:34:47.000,2023-01-16 16:42:04.000000,2023-01-16 16:41:27,15.0,4.0,62.0,85.0,2022-04-11 20:18:27,0.4.4,,1670.0,17.0,6.0,6.0,5.0,https://pypi.org/project/jupyterlab_iframe,948.0,,,,2.0,,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,722.0,,,,,,,,,,,,,
174,niwidgets,True,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,15,nipy/niwidgets,niwidgets,,https://github.com/nipy/niwidgets,Apache-2.0,2017-09-11 22:20:27.000,2022-12-08 05:01:00.000000,2020-03-24 14:27:42,33.0,17.0,17.0,79.0,,,,138.0,,28.0,28.0,16.0,https://pypi.org/project/niwidgets,138.0,,,,3.0,242.0,,,,,,,,,,,,,,,,
175,jupyterlab-sos,True,Jupyterlab extension for SoS Polyglot Notebook and Workflow..,https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,vatlab/jupyterlab-sos,,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,BSD-3-Clause,2018-03-20 16:07:18.000,2022-12-07 17:29:47.244000,2022-12-06 21:58:47,3.0,8.0,51.0,60.0,2019-09-02 19:30:02,0.5.0,,733.0,15.0,2.0,2.0,4.0,,,https://anaconda.org/conda-forge/jupyterlab-sos,2022-12-07 17:29:47.244,23306.0,2.0,327.0,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,165.0,,,,,,,,,,,,,
